 Frame,  Time,EMG Signal 1~5,
     0, 0.000,         3.992,
     1, 0.001,         4.371,
     2, 0.002,         4.752,
     3, 0.003,         5.132,
     4, 0.004,         5.509,
     5, 0.005,         5.881,
     6, 0.006,         6.245,
     7, 0.007,         6.598,
     8, 0.008,         6.939,
     9, 0.009,         7.265,
    10, 0.010,         7.573,
    11, 0.011,         7.861,
    12, 0.012,         8.127,
    13, 0.013,         8.368,
    14, 0.014,         8.582,
    15, 0.015,         8.769,
    16, 0.016,         8.925,
    17, 0.017,         9.049,
    18, 0.018,         9.142,
    19, 0.019,         9.200,
    20, 0.020,         9.224,
    21, 0.021,         9.214,
    22, 0.022,         9.169,
    23, 0.023,         9.090,
    24, 0.024,         8.978,
    25, 0.025,         8.834,
    26, 0.026,         8.659,
    27, 0.027,         8.455,
    28, 0.028,         8.226,
    29, 0.029,         7.972,
    30, 0.030,         7.698,
    31, 0.031,         7.408,
    32, 0.032,         7.104,
    33, 0.033,         6.792,
    34, 0.034,         6.475,
    35, 0.035,         6.158,
    36, 0.036,         5.847,
    37, 0.037,         5.547,
    38, 0.038,         5.262,
    39, 0.039,         4.999,
    40, 0.040,         4.763,
    41, 0.041,         4.560,
    42, 0.042,         4.394,
    43, 0.043,         4.272,
    44, 0.044,         4.198,
    45, 0.045,         4.179,
    46, 0.046,         4.217,
    47, 0.047,         4.319,
    48, 0.048,         4.489,
    49, 0.049,         4.729,
    50, 0.050,         5.044,
    51, 0.051,         5.436,
    52, 0.052,         5.908,
    53, 0.053,         6.461,
    54, 0.054,         7.096,
    55, 0.055,         7.815,
    56, 0.056,         8.616,
    57, 0.057,         9.500,
    58, 0.058,        10.464,
    59, 0.059,        11.507,
    60, 0.060,        12.624,
    61, 0.061,        13.814,
    62, 0.062,        15.071,
    63, 0.063,        16.390,
    64, 0.064,        17.765,
    65, 0.065,        19.191,
    66, 0.066,        20.660,
    67, 0.067,        22.164,
    68, 0.068,        23.695,
    69, 0.069,        25.245,
    70, 0.070,        26.805,
    71, 0.071,        28.364,
    72, 0.072,        29.915,
    73, 0.073,        31.446,
    74, 0.074,        32.948,
    75, 0.075,        34.411,
    76, 0.076,        35.826,
    77, 0.077,        37.181,
    78, 0.078,        38.469,
    79, 0.079,        39.680,
    80, 0.080,        40.806,
    81, 0.081,        41.838,
    82, 0.082,        42.770,
    83, 0.083,        43.595,
    84, 0.084,        44.307,
    85, 0.085,        44.902,
    86, 0.086,        45.376,
    87, 0.087,        45.726,
    88, 0.088,        45.950,
    89, 0.089,        46.047,
    90, 0.090,        46.019,
    91, 0.091,        45.866,
    92, 0.092,        45.590,
    93, 0.093,        45.196,
    94, 0.094,        44.687,
    95, 0.095,        44.068,
    96, 0.096,        43.346,
    97, 0.097,        42.526,
    98, 0.098,        41.616,
    99, 0.099,        40.624,
   100, 0.100,        39.557,
   101, 0.101,        38.424,
   102, 0.102,        37.233,
   103, 0.103,        35.993,
   104, 0.104,        34.712,
   105, 0.105,        33.400,
   106, 0.106,        32.063,
   107, 0.107,        30.711,
   108, 0.108,        29.352,
   109, 0.109,        27.992,
   110, 0.110,        26.640,
   111, 0.111,        25.301,
   112, 0.112,        23.982,
   113, 0.113,        22.689,
   114, 0.114,        21.427,
   115, 0.115,        20.201,
   116, 0.116,        19.014,
   117, 0.117,        17.870,
   118, 0.118,        16.772,
   119, 0.119,        15.723,
   120, 0.120,        14.724,
   121, 0.121,        13.777,
   122, 0.122,        12.882,
   123, 0.123,        12.040,
   124, 0.124,        11.251,
   125, 0.125,        10.514,
   126, 0.126,         9.829,
   127, 0.127,         9.195,
   128, 0.128,         8.611,
   129, 0.129,         8.074,
   130, 0.130,         7.583,
   131, 0.131,         7.136,
   132, 0.132,         6.732,
   133, 0.133,         6.367,
   134, 0.134,         6.039,
   135, 0.135,         5.747,
   136, 0.136,         5.487,
   137, 0.137,         5.257,
   138, 0.138,         5.055,
   139, 0.139,         4.878,
   140, 0.140,         4.724,
   141, 0.141,         4.590,
   142, 0.142,         4.475,
   143, 0.143,         4.376,
   144, 0.144,         4.291,
   145, 0.145,         4.218,
   146, 0.146,         4.155,
   147, 0.147,         4.100,
   148, 0.148,         4.053,
   149, 0.149,         4.010,
   150, 0.150,         3.972,
   151, 0.151,         3.936,
   152, 0.152,         3.902,
   153, 0.153,         3.869,
   154, 0.154,         3.835,
   155, 0.155,         3.801,
   156, 0.156,         3.765,
   157, 0.157,         3.727,
   158, 0.158,         3.688,
   159, 0.159,         3.646,
   160, 0.160,         3.601,
   161, 0.161,         3.554,
   162, 0.162,         3.505,
   163, 0.163,         3.453,
   164, 0.164,         3.400,
   165, 0.165,         3.345,
   166, 0.166,         3.289,
   167, 0.167,         3.232,
   168, 0.168,         3.175,
   169, 0.169,         3.118,
   170, 0.170,         3.062,
   171, 0.171,         3.007,
   172, 0.172,         2.954,
   173, 0.173,         2.904,
   174, 0.174,         2.857,
   175, 0.175,         2.813,
   176, 0.176,         2.774,
   177, 0.177,         2.739,
   178, 0.178,         2.710,
   179, 0.179,         2.687,
   180, 0.180,         2.670,
   181, 0.181,         2.659,
   182, 0.182,         2.656,
   183, 0.183,         2.660,
   184, 0.184,         2.671,
   185, 0.185,         2.690,
   186, 0.186,         2.718,
   187, 0.187,         2.753,
   188, 0.188,         2.796,
   189, 0.189,         2.848,
   190, 0.190,         2.908,
   191, 0.191,         2.975,
   192, 0.192,         3.051,
   193, 0.193,         3.134,
   194, 0.194,         3.224,
   195, 0.195,         3.321,
   196, 0.196,         3.426,
   197, 0.197,         3.536,
   198, 0.198,         3.653,
   199, 0.199,         3.775,
   200, 0.200,         3.902,
   201, 0.201,         4.033,
   202, 0.202,         4.169,
   203, 0.203,         4.308,
   204, 0.204,         4.450,
   205, 0.205,         4.595,
   206, 0.206,         4.742,
   207, 0.207,         4.890,
   208, 0.208,         5.038,
   209, 0.209,         5.187,
   210, 0.210,         5.336,
   211, 0.211,         5.485,
   212, 0.212,         5.632,
   213, 0.213,         5.777,
   214, 0.214,         5.920,
   215, 0.215,         6.061,
   216, 0.216,         6.199,
   217, 0.217,         6.334,
   218, 0.218,         6.466,
   219, 0.219,         6.594,
   220, 0.220,         6.718,
   221, 0.221,         6.838,
   222, 0.222,         6.954,
   223, 0.223,         7.065,
   224, 0.224,         7.172,
   225, 0.225,         7.275,
   226, 0.226,         7.374,
   227, 0.227,         7.469,
   228, 0.228,         7.559,
   229, 0.229,         7.646,
   230, 0.230,         7.728,
   231, 0.231,         7.807,
   232, 0.232,         7.882,
   233, 0.233,         7.954,
   234, 0.234,         8.023,
   235, 0.235,         8.089,
   236, 0.236,         8.152,
   237, 0.237,         8.213,
   238, 0.238,         8.271,
   239, 0.239,         8.327,
   240, 0.240,         8.381,
   241, 0.241,         8.433,
   242, 0.242,         8.484,
   243, 0.243,         8.532,
   244, 0.244,         8.579,
   245, 0.245,         8.623,
   246, 0.246,         8.666,
   247, 0.247,         8.708,
   248, 0.248,         8.747,
   249, 0.249,         8.783,
   250, 0.250,         8.818,
   251, 0.251,         8.849,
   252, 0.252,         8.878,
   253, 0.253,         8.903,
   254, 0.254,         8.924,
   255, 0.255,         8.941,
   256, 0.256,         8.954,
   257, 0.257,         8.961,
   258, 0.258,         8.963,
   259, 0.259,         8.959,
   260, 0.260,         8.948,
   261, 0.261,         8.930,
   262, 0.262,         8.905,
   263, 0.263,         8.871,
   264, 0.264,         8.829,
   265, 0.265,         8.779,
   266, 0.266,         8.718,
   267, 0.267,         8.649,
   268, 0.268,         8.569,
   269, 0.269,         8.479,
   270, 0.270,         8.380,
   271, 0.271,         8.269,
   272, 0.272,         8.149,
   273, 0.273,         8.018,
   274, 0.274,         7.877,
   275, 0.275,         7.726,
   276, 0.276,         7.565,
   277, 0.277,         7.395,
   278, 0.278,         7.215,
   279, 0.279,         7.028,
   280, 0.280,         6.832,
   281, 0.281,         6.629,
   282, 0.282,         6.419,
   283, 0.283,         6.204,
   284, 0.284,         5.983,
   285, 0.285,         5.758,
   286, 0.286,         5.530,
   287, 0.287,         5.299,
   288, 0.288,         5.067,
   289, 0.289,         4.835,
   290, 0.290,         4.604,
   291, 0.291,         4.376,
   292, 0.292,         4.150,
   293, 0.293,         3.929,
   294, 0.294,         3.714,
   295, 0.295,         3.505,
   296, 0.296,         3.305,
   297, 0.297,         3.114,
   298, 0.298,         2.934,
   299, 0.299,         2.765,
   300, 0.300,         2.609,
   301, 0.301,         2.467,
   302, 0.302,         2.339,
   303, 0.303,         2.227,
   304, 0.304,         2.131,
   305, 0.305,         2.052,
   306, 0.306,         1.991,
   307, 0.307,         1.948,
   308, 0.308,         1.924,
   309, 0.309,         1.919,
   310, 0.310,         1.933,
   311, 0.311,         1.966,
   312, 0.312,         2.019,
   313, 0.313,         2.091,
   314, 0.314,         2.181,
   315, 0.315,         2.290,
   316, 0.316,         2.417,
   317, 0.317,         2.562,
   318, 0.318,         2.723,
   319, 0.319,         2.900,
   320, 0.320,         3.092,
   321, 0.321,         3.298,
   322, 0.322,         3.516,
   323, 0.323,         3.745,
   324, 0.324,         3.984,
   325, 0.325,         4.232,
   326, 0.326,         4.487,
   327, 0.327,         4.747,
   328, 0.328,         5.011,
   329, 0.329,         5.277,
   330, 0.330,         5.544,
   331, 0.331,         5.809,
   332, 0.332,         6.071,
   333, 0.333,         6.329,
   334, 0.334,         6.580,
   335, 0.335,         6.823,
   336, 0.336,         7.056,
   337, 0.337,         7.279,
   338, 0.338,         7.488,
   339, 0.339,         7.684,
   340, 0.340,         7.864,
   341, 0.341,         8.028,
   342, 0.342,         8.175,
   343, 0.343,         8.303,
   344, 0.344,         8.412,
   345, 0.345,         8.502,
   346, 0.346,         8.572,
   347, 0.347,         8.622,
   348, 0.348,         8.651,
   349, 0.349,         8.660,
   350, 0.350,         8.648,
   351, 0.351,         8.617,
   352, 0.352,         8.566,
   353, 0.353,         8.497,
   354, 0.354,         8.409,
   355, 0.355,         8.304,
   356, 0.356,         8.183,
   357, 0.357,         8.047,
   358, 0.358,         7.896,
   359, 0.359,         7.732,
   360, 0.360,         7.556,
   361, 0.361,         7.369,
   362, 0.362,         7.173,
   363, 0.363,         6.969,
   364, 0.364,         6.758,
   365, 0.365,         6.541,
   366, 0.366,         6.320,
   367, 0.367,         6.096,
   368, 0.368,         5.871,
   369, 0.369,         5.645,
   370, 0.370,         5.419,
   371, 0.371,         5.195,
   372, 0.372,         4.973,
   373, 0.373,         4.755,
   374, 0.374,         4.541,
   375, 0.375,         4.332,
   376, 0.376,         4.130,
   377, 0.377,         3.933,
   378, 0.378,         3.744,
   379, 0.379,         3.562,
   380, 0.380,         3.388,
   381, 0.381,         3.222,
   382, 0.382,         3.064,
   383, 0.383,         2.915,
   384, 0.384,         2.774,
   385, 0.385,         2.642,
   386, 0.386,         2.519,
   387, 0.387,         2.404,
   388, 0.388,         2.298,
   389, 0.389,         2.199,
   390, 0.390,         2.109,
   391, 0.391,         2.026,
