Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,8.599,-1.977,2.016,
1,0.010,8.329,-1.933,2.074,
2,0.020,8.160,-1.779,2.216,
3,0.030,8.008,-1.832,2.272,
4,0.040,7.958,-1.972,2.279,
5,0.050,8.088,-2.092,2.365,
6,0.060,8.186,-2.177,2.359,
7,0.070,8.463,-2.213,2.382,
8,0.080,8.727,-2.228,2.416,
9,0.090,8.932,-2.184,2.471,
10,0.100,9.069,-2.058,2.365,
11,0.110,9.175,-1.864,2.315,
12,0.120,9.292,-1.807,2.335,
13,0.130,9.324,-1.766,2.314,
14,0.140,9.312,-1.775,2.377,
15,0.150,9.308,-1.864,2.516,
16,0.160,9.258,-1.866,2.610,
17,0.170,9.209,-1.776,2.635,
18,0.180,9.190,-1.658,2.642,
19,0.190,9.203,-1.626,2.694,
20,0.200,9.083,-1.566,2.718,
21,0.210,9.000,-1.520,2.655,
22,0.220,8.905,-1.621,2.648,
23,0.230,8.781,-1.664,2.639,
24,0.240,8.738,-1.874,2.514,
25,0.250,8.726,-1.973,2.572,
26,0.260,8.753,-1.986,2.455,
27,0.270,8.885,-2.176,2.377,
28,0.280,9.026,-2.256,2.408,
29,0.290,9.132,-2.371,2.425,
30,0.300,9.210,-2.359,2.345,
31,0.310,9.257,-2.422,2.375,
32,0.320,9.184,-2.488,2.333,
33,0.330,9.143,-2.580,2.249,
34,0.340,9.123,-2.652,2.282,
35,0.350,9.099,-2.580,2.337,
36,0.360,9.071,-2.463,2.446,
37,0.370,9.091,-2.262,2.511,
38,0.380,9.148,-2.004,2.454,
39,0.390,9.180,-1.821,2.484,
40,0.400,9.182,-1.731,2.449,
41,0.410,9.163,-1.710,2.525,
42,0.420,9.203,-1.723,2.449,
43,0.430,9.175,-1.800,2.544,
44,0.440,9.203,-1.787,2.759,
45,0.450,9.342,-1.721,2.771,
46,0.460,9.541,-1.477,3.101,
47,0.470,9.747,-1.109,3.200,
48,0.480,9.916,-0.676,3.276,
49,0.490,10.083,-0.262,3.343,
50,0.500,10.126,0.038,3.305,
51,0.510,10.126,0.031,3.277,
52,0.520,10.147,-0.212,3.119,
53,0.530,10.055,-0.692,2.953,
54,0.540,9.883,-1.305,2.835,
55,0.550,9.650,-1.651,2.937,
56,0.560,9.395,-2.040,2.989,
57,0.570,9.245,-2.348,2.847,
58,0.580,9.012,-2.274,3.188,
59,0.590,8.816,-1.834,3.280,
60,0.600,8.640,-1.342,3.433,
61,0.610,8.601,-0.807,3.634,
62,0.620,8.626,-0.244,3.617,
63,0.630,8.637,0.479,3.670,
64,0.640,8.702,1.011,3.608,
65,0.650,8.747,1.375,3.609,
66,0.660,8.803,1.512,3.537,
67,0.670,8.817,1.414,3.398,
68,0.680,8.792,1.213,3.519,
69,0.690,8.812,0.956,3.518,
70,0.700,8.891,0.727,3.562,
71,0.710,8.880,0.692,3.528,
72,0.720,8.929,0.672,3.354,
73,0.730,8.890,0.733,3.373,
74,0.740,8.890,0.666,3.200,
75,0.750,8.903,0.681,3.258,
76,0.760,8.880,0.710,3.175,
77,0.770,8.949,0.711,3.360,
78,0.780,8.976,0.590,2.945,
79,0.790,9.005,0.571,3.075,
80,0.800,9.048,0.658,3.046,
81,0.810,9.027,0.662,2.954,
82,0.820,9.124,0.755,2.969,
83,0.830,9.188,0.846,2.947,
84,0.840,9.131,0.956,2.909,
85,0.850,9.115,1.053,3.143,
86,0.860,9.072,0.862,3.127,
87,0.870,8.967,0.808,3.330,
88,0.880,8.957,0.736,3.475,
89,0.890,8.960,0.340,3.429,
90,0.900,9.041,0.136,3.383,
91,0.910,9.083,-0.001,3.587,
92,0.920,9.198,-0.183,3.555,
93,0.930,9.164,-0.455,3.567,
94,0.940,9.143,-0.538,3.553,
95,0.950,9.133,-0.661,3.570,
96,0.960,9.118,-0.829,3.409,
97,0.970,9.034,-0.938,3.352,
98,0.980,8.974,-1.116,3.182,
99,0.990,8.839,-1.107,3.207,
100,1.000,8.731,-1.102,3.255,
101,1.010,8.699,-1.067,3.172,
102,1.020,8.676,-0.961,3.064,
103,1.030,8.742,-0.943,3.095,
104,1.040,8.901,-1.032,3.045,
105,1.050,9.043,-1.052,2.988,
106,1.060,9.213,-1.161,2.973,
107,1.070,9.308,-1.293,3.000,
108,1.080,9.333,-1.369,2.976,
109,1.090,9.360,-1.353,2.988,
110,1.100,9.387,-1.345,2.987,
111,1.110,9.350,-1.352,3.068,
112,1.120,9.355,-1.348,3.073,
113,1.130,9.284,-1.309,3.012,
114,1.140,9.251,-1.224,3.036,
115,1.150,9.164,-1.248,2.916,
116,1.160,9.148,-1.352,2.893,
117,1.170,9.107,-1.460,2.982,
118,1.180,9.027,-1.547,2.912,
119,1.190,8.949,-1.591,2.924,
120,1.200,8.947,-1.605,2.987,
121,1.210,8.970,-1.620,2.976,
122,1.220,8.985,-1.601,2.985,
123,1.230,9.058,-1.602,2.967,
124,1.240,9.125,-1.608,2.943,
125,1.250,9.162,-1.575,2.910,
126,1.260,9.071,-1.623,2.941,
127,1.270,9.145,-1.662,2.940,
128,1.280,9.101,-1.761,2.943,
129,1.290,9.106,-1.850,2.954,
130,1.300,9.152,-1.852,2.932,
131,1.310,9.083,-1.868,2.959,
132,1.320,9.108,-1.881,2.848,
133,1.330,9.076,-1.793,2.906,
134,1.340,9.043,-1.641,2.864,
135,1.350,9.023,-1.524,2.855,
136,1.360,9.034,-1.484,2.795,
137,1.370,9.015,-1.453,2.753,
138,1.380,9.093,-1.426,2.808,
139,1.390,9.123,-1.448,2.791,
140,1.400,9.209,-1.493,2.797,
141,1.410,9.172,-1.558,2.849,
142,1.420,9.227,-1.728,2.844,
143,1.430,9.239,-1.724,2.918,
144,1.440,9.234,-1.706,2.976,
145,1.450,9.261,-1.680,2.985,
146,1.460,9.304,-1.691,2.881,
147,1.470,9.300,-1.697,2.942,
148,1.480,9.322,-1.703,2.963,
149,1.490,9.219,-1.630,2.910,
150,1.500,9.172,-1.590,2.979,
151,1.510,9.069,-1.573,2.978,
152,1.520,8.985,-1.632,2.952,
153,1.530,8.954,-1.678,2.958,
154,1.540,8.957,-1.615,2.904,
155,1.550,8.972,-1.617,2.905,
156,1.560,8.979,-1.589,2.945,
157,1.570,9.058,-1.503,2.953,
158,1.580,9.061,-1.474,2.825,
159,1.590,9.148,-1.460,2.892,
160,1.600,9.192,-1.449,2.802,
161,1.610,9.202,-1.491,2.827,
162,1.620,9.241,-1.529,2.847,
163,1.630,9.258,-1.522,2.874,
164,1.640,9.207,-1.496,2.894,
165,1.650,9.192,-1.526,2.855,
166,1.660,9.203,-1.540,2.920,
167,1.670,9.143,-1.562,2.825,
168,1.680,9.149,-1.494,2.827,
169,1.690,9.148,-1.460,2.781,
170,1.700,9.124,-1.340,2.818,
171,1.710,9.144,-1.374,2.753,
172,1.720,9.103,-1.377,2.809,
173,1.730,9.054,-1.395,2.825,
174,1.740,9.064,-1.364,2.813,
175,1.750,9.087,-1.393,2.811,
176,1.760,9.117,-1.375,2.857,
177,1.770,9.143,-1.394,2.808,
178,1.780,9.121,-1.418,2.795,
179,1.790,9.154,-1.405,2.811,
180,1.800,9.176,-1.413,2.674,
181,1.810,9.221,-1.405,2.878,
182,1.820,9.191,-1.402,2.811,
183,1.830,9.168,-1.451,2.789,
184,1.840,9.181,-1.433,2.793,
185,1.850,9.175,-1.383,2.797,
186,1.860,9.179,-1.352,2.754,
187,1.870,9.140,-1.346,2.832,
188,1.880,9.133,-1.388,2.881,
189,1.890,9.119,-1.439,2.801,
190,1.900,9.112,-1.453,2.758,
191,1.910,9.072,-1.406,2.750,
192,1.920,9.051,-1.345,2.793,
193,1.930,9.040,-1.419,2.735,
194,1.940,9.069,-1.441,2.745,
195,1.950,9.054,-1.449,2.758,
196,1.960,9.168,-1.423,2.644,
197,1.970,9.229,-1.407,2.636,
198,1.980,9.255,-1.417,2.696,
199,1.990,9.350,-1.398,2.671,
200,2.000,9.370,-1.413,2.659,
201,2.010,9.370,-1.445,2.722,
202,2.020,9.288,-1.420,2.744,
203,2.030,9.194,-1.398,2.758,
204,2.040,9.131,-1.420,2.825,
205,2.050,9.059,-1.427,2.818,
206,2.060,9.023,-1.453,2.905,
207,2.070,9.023,-1.456,2.862,
208,2.080,9.017,-1.475,2.885,
209,2.090,9.024,-1.468,2.842,
210,2.100,9.132,-1.388,2.892,
211,2.110,9.145,-1.364,2.808,
212,2.120,9.192,-1.377,2.812,
213,2.130,9.197,-1.344,2.820,
214,2.140,9.156,-1.381,2.825,
215,2.150,9.188,-1.360,2.793,
216,2.160,9.176,-1.393,2.817,
217,2.170,9.178,-1.450,2.791,
218,2.180,9.190,-1.417,2.784,
219,2.190,9.245,-1.405,2.777,
220,2.200,9.204,-1.407,2.811,
221,2.210,9.170,-1.461,2.843,
222,2.220,9.172,-1.382,2.801,
223,2.230,9.200,-1.417,2.851,
224,2.240,9.111,-1.378,2.876,
225,2.250,9.172,-1.338,2.900,
226,2.260,9.114,-1.333,2.885,
227,2.270,9.127,-1.363,2.886,
228,2.280,9.145,-1.443,2.835,
229,2.290,9.113,-1.396,2.882,
230,2.300,9.126,-1.426,2.857,
231,2.310,9.175,-1.404,2.837,
232,2.320,9.154,-1.369,2.812,
233,2.330,9.118,-1.404,2.872,
234,2.340,9.100,-1.393,2.775,
235,2.350,9.121,-1.398,2.800,
236,2.360,9.150,-1.420,2.763,
237,2.370,9.143,-1.404,2.754,
238,2.380,9.157,-1.460,2.791,
239,2.390,9.209,-1.450,2.746,
240,2.400,9.174,-1.421,2.775,
241,2.410,9.173,-1.404,2.858,
242,2.420,9.150,-1.370,2.839,
243,2.430,9.125,-1.359,2.814,
244,2.440,9.190,-1.325,2.803,
245,2.450,9.186,-1.412,2.835,
