Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,-28.0,-72.0,168.7,
1,0.010,-28.3,-71.8,169.0,
2,0.020,-28.6,-71.6,169.3,
3,0.030,-28.8,-71.4,169.6,
4,0.040,-29.0,-71.2,169.9,
5,0.050,-29.2,-71.0,170.1,
6,0.060,-29.3,-70.8,170.4,
7,0.070,-29.4,-70.6,170.6,
8,0.080,-29.4,-70.5,170.8,
9,0.090,-29.4,-70.4,170.9,
10,0.100,-29.4,-70.3,171.0,
11,0.110,-29.3,-70.2,171.0,
12,0.120,-29.1,-70.2,170.9,
13,0.130,-28.8,-70.1,170.8,
14,0.140,-28.5,-70.1,170.6,
15,0.150,-28.2,-70.1,170.4,
16,0.160,-27.8,-70.2,170.2,
17,0.170,-27.5,-70.2,170.0,
18,0.180,-27.2,-70.2,169.8,
19,0.190,-26.8,-70.2,169.6,
20,0.200,-26.5,-70.3,169.4,
21,0.210,-26.2,-70.3,169.2,
22,0.220,-26.0,-70.3,169.1,
23,0.230,-25.8,-70.4,168.9,
24,0.240,-25.6,-70.4,168.9,
25,0.250,-25.5,-70.4,168.9,
26,0.260,-25.5,-70.5,169.0,
27,0.270,-25.5,-70.5,169.0,
28,0.280,-25.5,-70.6,169.1,
29,0.290,-25.5,-70.6,169.2,
30,0.300,-25.5,-70.7,169.4,
31,0.310,-25.5,-70.7,169.5,
32,0.320,-25.5,-70.8,169.6,
33,0.330,-25.5,-70.8,169.7,
34,0.340,-25.5,-70.9,169.9,
35,0.350,-25.5,-71.0,170.0,
36,0.360,-25.5,-71.1,170.2,
37,0.370,-25.5,-71.2,170.3,
38,0.380,-25.4,-71.2,170.4,
39,0.390,-25.3,-71.3,170.5,
40,0.400,-25.2,-71.4,170.6,
41,0.410,-25.1,-71.5,170.7,
42,0.420,-25.0,-71.6,170.8,
43,0.430,-24.9,-71.7,170.8,
44,0.440,-24.8,-71.8,170.9,
45,0.450,-24.7,-71.9,171.0,
46,0.460,-24.6,-71.9,171.0,
47,0.470,-24.4,-72.0,171.0,
48,0.480,-24.2,-72.0,170.9,
49,0.490,-23.9,-72.0,170.8,
50,0.500,-23.6,-72.1,170.7,
51,0.510,-23.3,-72.1,170.6,
52,0.520,-23.1,-72.0,170.6,
53,0.530,-23.0,-72.0,170.7,
54,0.540,-23.0,-71.9,170.9,
55,0.550,-23.0,-71.8,171.2,
56,0.560,-23.0,-71.6,171.4,
57,0.570,-22.9,-71.4,171.6,
58,0.580,-22.7,-71.2,171.7,
59,0.590,-22.4,-71.0,171.7,
60,0.600,-21.9,-70.8,171.6,
61,0.610,-21.4,-70.6,171.4,
62,0.620,-20.9,-70.4,171.1,
63,0.630,-20.3,-70.2,170.8,
64,0.640,-19.7,-70.1,170.5,
65,0.650,-19.1,-69.9,170.2,
66,0.660,-18.6,-69.8,170.0,
67,0.670,-18.2,-69.7,169.9,
68,0.680,-17.9,-69.6,169.9,
69,0.690,-17.6,-69.5,169.9,
70,0.700,-17.4,-69.5,170.0,
71,0.710,-17.2,-69.4,170.0,
72,0.720,-17.0,-69.3,170.0,
73,0.730,-16.8,-69.3,170.0,
74,0.740,-16.6,-69.3,169.9,
75,0.750,-16.4,-69.3,169.8,
76,0.760,-16.1,-69.2,169.6,
77,0.770,-15.9,-69.2,169.5,
78,0.780,-15.7,-69.3,169.4,
79,0.790,-15.6,-69.3,169.3,
80,0.800,-15.5,-69.3,169.2,
81,0.810,-15.4,-69.3,169.1,
82,0.820,-15.4,-69.3,169.0,
83,0.830,-15.5,-69.4,169.0,
84,0.840,-15.5,-69.4,168.9,
85,0.850,-15.5,-69.4,168.8,
86,0.860,-15.6,-69.5,168.7,
87,0.870,-15.7,-69.5,168.7,
88,0.880,-15.8,-69.5,168.6,
89,0.890,-16.0,-69.5,168.6,
90,0.900,-16.2,-69.5,168.6,
91,0.910,-16.4,-69.5,168.6,
92,0.920,-16.7,-69.5,168.7,
93,0.930,-17.0,-69.5,168.8,
94,0.940,-17.3,-69.5,168.9,
95,0.950,-17.5,-69.5,169.0,
96,0.960,-17.8,-69.5,169.1,
97,0.970,-18.1,-69.5,169.3,
98,0.980,-18.4,-69.4,169.5,
99,0.990,-18.7,-69.4,169.8,
100,1.000,-19.0,-69.4,170.0,
101,1.010,-19.3,-69.4,170.3,
102,1.020,-19.7,-69.4,170.5,
103,1.030,-20.0,-69.4,170.8,
104,1.040,-20.4,-69.3,171.1,
105,1.050,-20.7,-69.3,171.4,
106,1.060,-21.1,-69.3,171.8,
107,1.070,-21.4,-69.3,172.1,
108,1.080,-21.8,-69.3,172.4,
109,1.090,-22.1,-69.2,172.6,
110,1.100,-22.4,-69.2,172.9,
111,1.110,-22.6,-69.2,173.1,
112,1.120,-22.8,-69.2,173.3,
113,1.130,-23.0,-69.2,173.4,
114,1.140,-23.2,-69.2,173.5,
115,1.150,-23.3,-69.2,173.6,
116,1.160,-23.5,-69.3,173.7,
117,1.170,-23.6,-69.3,173.8,
118,1.180,-23.8,-69.3,173.9,
119,1.190,-23.9,-69.3,173.9,
120,1.200,-24.0,-69.3,174.0,
121,1.210,-24.1,-69.3,174.1,
122,1.220,-24.2,-69.3,174.1,
123,1.230,-24.3,-69.3,174.1,
124,1.240,-24.4,-69.4,174.2,
125,1.250,-24.5,-69.4,174.2,
126,1.260,-24.6,-69.4,174.3,
127,1.270,-24.8,-69.4,174.4,
128,1.280,-25.0,-69.4,174.6,
129,1.290,-25.2,-69.5,174.8,
130,1.300,-25.4,-69.5,175.0,
131,1.310,-25.7,-69.5,175.2,
132,1.320,-25.9,-69.5,175.4,
133,1.330,-26.1,-69.5,175.6,
134,1.340,-26.3,-69.5,175.8,
135,1.350,-26.4,-69.5,175.9,
136,1.360,-26.6,-69.6,176.0,
137,1.370,-26.7,-69.6,176.1,
138,1.380,-26.8,-69.7,176.2,
139,1.390,-26.9,-69.7,176.3,
140,1.400,-27.0,-69.7,176.4,
141,1.410,-27.1,-69.8,176.5,
142,1.420,-27.2,-69.8,176.6,
143,1.430,-27.3,-69.8,176.6,
144,1.440,-27.4,-69.8,176.7,
145,1.450,-27.5,-69.8,176.8,
146,1.460,-27.6,-69.8,176.8,
147,1.470,-27.7,-69.8,176.9,
148,1.480,-27.8,-69.8,176.9,
149,1.490,-27.8,-69.8,177.0,
150,1.500,-27.9,-69.8,177.0,
151,1.510,-27.9,-69.8,177.1,
152,1.520,-28.0,-69.8,177.1,
153,1.530,-28.0,-69.8,177.1,
154,1.540,-28.0,-69.8,177.2,
155,1.550,-28.0,-69.8,177.2,
156,1.560,-28.0,-69.8,177.2,
157,1.570,-28.0,-69.8,177.1,
158,1.580,-27.9,-69.8,177.1,
159,1.590,-27.9,-69.8,177.1,
160,1.600,-27.9,-69.8,177.1,
161,1.610,-27.8,-69.8,177.1,
162,1.620,-27.8,-69.8,177.1,
163,1.630,-27.8,-69.8,177.0,
164,1.640,-27.8,-69.8,177.0,
165,1.650,-27.7,-69.8,177.0,
166,1.660,-27.7,-69.8,177.0,
167,1.670,-27.7,-69.8,176.9,
168,1.680,-27.6,-69.8,176.9,
169,1.690,-27.6,-69.8,176.8,
170,1.700,-27.6,-69.8,176.8,
171,1.710,-27.5,-69.8,176.7,
172,1.720,-27.5,-69.8,176.7,
173,1.730,-27.4,-69.8,176.6,
174,1.740,-27.4,-69.8,176.6,
175,1.750,-27.3,-69.8,176.5,
176,1.760,-27.3,-69.8,176.4,
177,1.770,-27.2,-69.8,176.4,
178,1.780,-27.2,-69.8,176.3,
179,1.790,-27.2,-69.8,176.3,
180,1.800,-27.2,-69.8,176.2,
181,1.810,-27.2,-69.8,176.2,
182,1.820,-27.1,-69.8,176.1,
183,1.830,-27.1,-69.8,176.1,
184,1.840,-27.2,-69.8,176.1,
185,1.850,-27.2,-69.8,176.1,
186,1.860,-27.2,-69.8,176.0,
187,1.870,-27.2,-69.8,176.0,
188,1.880,-27.1,-69.8,175.9,
189,1.890,-27.1,-69.8,175.9,
190,1.900,-27.1,-69.8,175.9,
191,1.910,-27.2,-69.8,175.8,
192,1.920,-27.2,-69.9,175.8,
193,1.930,-27.2,-69.9,175.8,
194,1.940,-27.2,-69.9,175.8,
195,1.950,-27.2,-69.9,175.7,
196,1.960,-27.2,-69.9,175.7,
197,1.970,-27.2,-69.9,175.7,
198,1.980,-27.2,-69.9,175.6,
199,1.990,-27.2,-69.9,175.6,
200,2.000,-27.2,-70.0,175.6,
201,2.010,-27.2,-70.0,175.6,
202,2.020,-27.2,-70.0,175.6,
203,2.030,-27.2,-70.0,175.5,
204,2.040,-27.2,-70.0,175.5,
205,2.050,-27.2,-70.0,175.5,
206,2.060,-27.2,-70.0,175.5,
207,2.070,-27.2,-70.0,175.4,
208,2.080,-27.2,-70.0,175.4,
209,2.090,-27.2,-70.0,175.4,
210,2.100,-27.2,-70.0,175.4,
211,2.110,-27.2,-70.1,175.4,
212,2.120,-27.1,-70.1,175.3,
213,2.130,-27.1,-70.1,175.3,
214,2.140,-27.1,-70.1,175.3,
215,2.150,-27.1,-70.1,175.3,
216,2.160,-27.1,-70.1,175.2,
217,2.170,-27.0,-70.1,175.2,
218,2.180,-27.0,-70.1,175.2,
219,2.190,-27.0,-70.1,175.2,
220,2.200,-27.0,-70.1,175.2,
221,2.210,-27.0,-70.1,175.2,
222,2.220,-27.0,-70.1,175.2,
223,2.230,-27.0,-70.1,175.2,
224,2.240,-26.9,-70.1,175.1,
225,2.250,-26.9,-70.1,175.1,
226,2.260,-26.9,-70.1,175.1,
227,2.270,-26.9,-70.1,175.1,
228,2.280,-26.8,-70.1,175.0,
229,2.290,-26.8,-70.1,175.0,
230,2.300,-26.8,-70.1,175.0,
231,2.310,-26.8,-70.1,175.0,
232,2.320,-26.8,-70.1,175.0,
233,2.330,-26.7,-70.1,175.0,
234,2.340,-26.7,-70.1,174.9,
235,2.350,-26.7,-70.1,174.9,
236,2.360,-26.7,-70.1,174.9,
237,2.370,-26.7,-70.1,174.9,
238,2.380,-26.6,-70.1,174.9,
239,2.390,-26.6,-70.1,174.9,
240,2.400,-26.6,-70.1,174.9,
241,2.410,-26.6,-70.1,174.9,
242,2.420,-26.6,-70.1,174.9,
243,2.430,-26.6,-70.2,174.9,
244,2.440,-26.6,-70.2,174.9,
245,2.450,-26.6,-70.2,174.9,
