Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
0,0.000,3.6,-1.2,114.0
1,0.010,3.7,-1.2,114.0
2,0.020,3.7,-1.2,114.0
3,0.030,3.7,-1.1,114.0
4,0.040,3.7,-1.1,114.0
5,0.050,3.7,-1.1,114.0
6,0.060,3.7,-1.1,114.0
7,0.070,3.7,-1.2,114.0
8,0.080,3.7,-1.2,114.0
9,0.090,3.7,-1.2,114.0
10,0.100,3.7,-1.2,114.0
11,0.110,3.7,-1.2,114.0
12,0.120,3.7,-1.2,114.0
13,0.130,3.7,-1.2,114.0
14,0.140,3.7,-1.2,114.0
15,0.150,3.7,-1.2,114.0
16,0.160,3.7,-1.2,114.0
17,0.170,3.7,-1.2,114.0
18,0.180,3.7,-1.2,114.0
19,0.190,3.7,-1.2,114.0
20,0.200,3.7,-1.2,114.0
21,0.210,3.7,-1.2,114.0
22,0.220,3.7,-1.2,114.0
23,0.230,3.6,-1.2,114.0
24,0.240,3.6,-1.2,114.0
25,0.250,3.6,-1.2,114.0
26,0.260,3.6,-1.2,114.0
27,0.270,3.6,-1.2,114.0
28,0.280,3.6,-1.2,114.0
29,0.290,3.6,-1.2,114.0
30,0.300,3.6,-1.2,114.0
31,0.310,3.6,-1.2,113.9
32,0.320,3.6,-1.2,113.9
33,0.330,3.6,-1.2,113.9
34,0.340,3.6,-1.1,113.9
35,0.350,3.6,-1.1,113.9
36,0.360,3.5,-1.1,113.9
37,0.370,3.5,-1.1,113.9
38,0.380,3.4,-1.1,113.9
39,0.390,3.4,-1.1,113.9
40,0.400,3.4,-1.1,113.9
41,0.410,3.4,-1.1,113.9
42,0.420,3.4,-1.1,113.9
43,0.430,3.4,-1.1,113.9
44,0.440,3.4,-1.1,113.9
45,0.450,3.4,-1.1,113.9
46,0.460,3.4,-1.1,113.9
47,0.470,3.4,-1.1,113.9
48,0.480,3.4,-1.1,113.9
49,0.490,3.4,-1.1,113.9
50,0.500,3.4,-1.1,113.9
51,0.510,3.4,-1.1,113.9
52,0.520,3.5,-1.1,113.9
53,0.530,3.5,-1.1,113.9
54,0.540,3.5,-1.1,113.9
55,0.550,3.5,-1.1,113.9
56,0.560,3.5,-1.1,113.9
57,0.570,3.5,-1.1,113.9
58,0.580,3.5,-1.1,113.9
59,0.590,3.5,-1.1,113.9
60,0.600,3.5,-1.1,113.9
61,0.610,3.4,-1.1,113.9
62,0.620,3.4,-1.1,113.9
63,0.630,3.4,-1.1,113.8
64,0.640,3.4,-1.1,113.8
65,0.650,3.4,-1.1,113.8
66,0.660,3.4,-1.1,113.8
67,0.670,3.4,-1.1,113.8
68,0.680,3.4,-1.1,113.8
69,0.690,3.4,-1.1,113.8
70,0.700,3.4,-1.1,113.8
71,0.710,3.4,-1.1,113.8
72,0.720,3.4,-1.1,113.8
73,0.730,3.4,-1.1,113.8
74,0.740,3.4,-1.1,113.8
75,0.750,3.4,-1.1,113.8
76,0.760,3.4,-1.1,113.8
77,0.770,3.4,-1.1,113.8
78,0.780,3.4,-1.1,113.8
79,0.790,3.4,-1.1,113.8
80,0.800,3.5,-1.1,113.8
81,0.810,3.5,-1.1,113.8
82,0.820,3.5,-1.1,113.8
83,0.830,3.5,-1.1,113.8
84,0.840,3.5,-1.1,113.8
85,0.850,3.5,-1.1,113.8
86,0.860,3.6,-1.1,113.8
87,0.870,3.6,-1.1,113.8
88,0.880,3.6,-1.2,113.8
89,0.890,3.6,-1.2,113.8
90,0.900,3.6,-1.2,113.8
91,0.910,3.7,-1.2,113.8
92,0.920,3.7,-1.2,113.8
93,0.930,3.7,-1.2,113.8
94,0.940,3.7,-1.2,113.8
95,0.950,3.7,-1.2,113.8
96,0.960,3.7,-1.2,113.8
97,0.970,3.7,-1.2,113.8
98,0.980,3.7,-1.2,113.8
99,0.990,3.7,-1.2,113.8
100,1.000,3.6,-1.3,113.8
101,1.010,3.6,-1.3,113.8
102,1.020,3.6,-1.3,113.8
103,1.030,3.6,-1.3,113.8
104,1.040,3.6,-1.3,113.8
105,1.050,3.6,-1.3,113.8
106,1.060,3.5,-1.4,113.8
107,1.070,3.5,-1.4,113.8
108,1.080,3.5,-1.4,113.8
109,1.090,3.5,-1.4,113.8
110,1.100,3.5,-1.4,113.8
111,1.110,3.5,-1.4,113.8
112,1.120,3.5,-1.4,113.8
113,1.130,3.4,-1.4,113.8
114,1.140,3.4,-1.4,113.8
115,1.150,3.4,-1.4,113.8
116,1.160,3.4,-1.4,113.8
117,1.170,3.4,-1.4,113.8
118,1.180,3.4,-1.3,113.8
119,1.190,3.4,-1.3,113.8
120,1.200,3.4,-1.3,113.8
121,1.210,3.4,-1.3,113.8
122,1.220,3.4,-1.4,113.8
123,1.230,3.4,-1.4,113.8
124,1.240,3.4,-1.4,113.8
125,1.250,3.4,-1.4,113.8
126,1.260,3.4,-1.4,113.8
127,1.270,3.4,-1.4,113.8
128,1.280,3.4,-1.4,113.8
129,1.290,3.4,-1.4,113.8
130,1.300,3.4,-1.4,113.8
131,1.310,3.4,-1.4,113.8
132,1.320,3.4,-1.4,113.8
133,1.330,3.5,-1.4,113.8
134,1.340,3.5,-1.4,113.8
135,1.350,3.5,-1.4,113.8
136,1.360,3.5,-1.4,113.8
137,1.370,3.5,-1.4,113.8
138,1.380,3.5,-1.4,113.8
139,1.390,3.5,-1.4,113.8
140,1.400,3.5,-1.4,113.8
141,1.410,3.5,-1.4,113.8
142,1.420,3.6,-1.4,113.8
143,1.430,3.6,-1.4,113.8
144,1.440,3.6,-1.4,113.8
145,1.450,3.6,-1.3,113.8
146,1.460,3.6,-1.3,113.8
147,1.470,3.6,-1.3,113.8
148,1.480,3.6,-1.3,113.8
149,1.490,3.6,-1.3,113.8
150,1.500,3.6,-1.3,113.8
151,1.510,3.6,-1.3,113.8
152,1.520,3.6,-1.3,113.8
153,1.530,3.6,-1.3,113.8
154,1.540,3.6,-1.3,113.8
155,1.550,3.6,-1.3,113.8
156,1.560,3.6,-1.3,113.8
157,1.570,3.7,-1.3,113.8
158,1.580,3.7,-1.3,113.8
159,1.590,3.7,-1.3,113.8
160,1.600,3.6,-1.3,113.8
161,1.610,3.6,-1.3,113.8
162,1.620,3.6,-1.3,113.8
163,1.630,3.6,-1.3,113.8
164,1.640,3.6,-1.3,113.8
165,1.650,3.6,-1.3,113.8
166,1.660,3.6,-1.3,113.8
167,1.670,3.6,-1.3,113.8
168,1.680,3.6,-1.3,113.8
169,1.690,3.6,-1.3,113.8
170,1.700,3.6,-1.3,113.8
171,1.710,3.6,-1.3,113.8
172,1.720,3.6,-1.3,113.8
173,1.730,3.6,-1.3,113.8
174,1.740,3.6,-1.3,113.8
175,1.750,3.6,-1.3,113.8
176,1.760,3.6,-1.3,113.8
177,1.770,3.6,-1.3,113.8
178,1.780,3.6,-1.2,113.8
179,1.790,3.6,-1.2,113.8
180,1.800,3.6,-1.2,113.8
181,1.810,3.6,-1.2,113.8
182,1.820,3.6,-1.2,113.8
183,1.830,3.6,-1.2,113.8
184,1.840,3.6,-1.2,113.8
185,1.850,3.6,-1.2,113.8
186,1.860,3.6,-1.2,113.8
187,1.870,3.6,-1.2,113.8
188,1.880,3.6,-1.2,113.8
189,1.890,3.6,-1.2,113.8
190,1.900,3.6,-1.2,113.8
191,1.910,3.6,-1.2,113.8
192,1.920,3.6,-1.2,113.8
193,1.930,3.6,-1.2,113.8
194,1.940,3.6,-1.2,113.8
195,1.950,3.6,-1.2,113.8
196,1.960,3.6,-1.2,113.8
197,1.970,3.6,-1.2,113.8
198,1.980,3.6,-1.2,113.8
199,1.990,3.6,-1.2,113.8
200,2.000,3.6,-1.2,113.8
201,2.010,3.6,-1.2,113.8
202,2.020,3.6,-1.2,113.8
203,2.030,3.6,-1.2,113.8
204,2.040,3.6,-1.2,113.8
205,2.050,3.6,-1.2,113.8
