Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,0.1,0.4,88.2,
1,0.010,0.1,0.4,88.2,
2,0.020,0.1,0.4,88.2,
3,0.030,0.1,0.4,88.2,
4,0.040,0.1,0.4,88.2,
5,0.050,0.1,0.4,88.2,
6,0.060,0.1,0.4,88.2,
7,0.070,0.1,0.4,88.2,
8,0.080,0.1,0.4,88.2,
9,0.090,0.1,0.4,88.2,
10,0.100,0.1,0.4,88.2,
11,0.110,0.1,0.4,88.2,
12,0.120,0.1,0.4,88.2,
13,0.130,0.1,0.4,88.2,
14,0.140,0.0,0.4,88.2,
15,0.150,0.0,0.4,88.2,
16,0.160,0.0,0.4,88.2,
17,0.170,0.0,0.4,88.2,
18,0.180,-0.0,0.4,88.2,
19,0.190,-0.0,0.4,88.2,
20,0.200,-0.0,0.4,88.2,
21,0.210,-0.1,0.4,88.2,
22,0.220,-0.1,0.4,88.2,
23,0.230,-0.1,0.4,88.2,
24,0.240,-0.1,0.4,88.2,
25,0.250,-0.1,0.4,88.2,
26,0.260,-0.1,0.4,88.2,
27,0.270,-0.1,0.4,88.2,
28,0.280,-0.1,0.4,88.2,
29,0.290,-0.1,0.4,88.2,
30,0.300,-0.1,0.4,88.2,
31,0.310,-0.1,0.4,88.2,
32,0.320,-0.1,0.4,88.2,
33,0.330,-0.1,0.4,88.2,
34,0.340,-0.1,0.4,88.2,
35,0.350,-0.1,0.4,88.2,
36,0.360,-0.0,0.4,88.2,
37,0.370,-0.0,0.4,88.2,
38,0.380,-0.0,0.4,88.2,
39,0.390,-0.0,0.4,88.2,
40,0.400,0.0,0.4,88.2,
41,0.410,0.0,0.4,88.2,
42,0.420,0.0,0.4,88.2,
43,0.430,0.0,0.4,88.2,
44,0.440,0.0,0.4,88.2,
45,0.450,0.0,0.4,88.2,
46,0.460,-0.0,0.4,88.2,
47,0.470,-0.0,0.4,88.2,
48,0.480,-0.0,0.4,88.2,
49,0.490,-0.0,0.4,88.2,
50,0.500,-0.0,0.4,88.2,
51,0.510,-0.0,0.3,88.2,
52,0.520,-0.0,0.3,88.2,
53,0.530,-0.0,0.3,88.2,
54,0.540,-0.0,0.3,88.2,
55,0.550,-0.0,0.3,88.2,
56,0.560,-0.0,0.3,88.2,
57,0.570,-0.0,0.3,88.2,
58,0.580,-0.0,0.3,88.2,
59,0.590,-0.0,0.3,88.2,
60,0.600,-0.1,0.3,88.2,
61,0.610,-0.1,0.3,88.2,
62,0.620,-0.1,0.3,88.2,
63,0.630,-0.1,0.4,88.2,
64,0.640,-0.1,0.4,88.2,
65,0.650,-0.1,0.4,88.2,
66,0.660,-0.1,0.4,88.2,
67,0.670,-0.1,0.4,88.2,
68,0.680,-0.1,0.4,88.2,
69,0.690,-0.1,0.4,88.2,
70,0.700,-0.1,0.4,88.2,
71,0.710,-0.1,0.4,88.2,
72,0.720,-0.2,0.4,88.2,
73,0.730,-0.2,0.4,88.2,
74,0.740,-0.2,0.4,88.2,
75,0.750,-0.2,0.4,88.2,
76,0.760,-0.2,0.4,88.2,
77,0.770,-0.2,0.4,88.2,
78,0.780,-0.2,0.4,88.2,
79,0.790,-0.2,0.4,88.2,
80,0.800,-0.2,0.4,88.2,
81,0.810,-0.2,0.4,88.2,
82,0.820,-0.2,0.4,88.2,
83,0.830,-0.3,0.4,88.2,
84,0.840,-0.3,0.4,88.2,
85,0.850,-0.3,0.4,88.2,
86,0.860,-0.3,0.4,88.2,
87,0.870,-0.3,0.5,88.2,
88,0.880,-0.3,0.5,88.2,
89,0.890,-0.3,0.5,88.2,
90,0.900,-0.3,0.5,88.2,
91,0.910,-0.3,0.5,88.2,
92,0.920,-0.3,0.5,88.2,
93,0.930,-0.3,0.5,88.2,
94,0.940,-0.3,0.5,88.2,
95,0.950,-0.3,0.5,88.2,
96,0.960,-0.3,0.5,88.2,
97,0.970,-0.3,0.5,88.2,
98,0.980,-0.3,0.5,88.2,
99,0.990,-0.2,0.4,88.2,
100,1.000,-0.2,0.4,88.2,
101,1.010,-0.2,0.4,88.2,
102,1.020,-0.3,0.4,88.2,
103,1.030,-0.3,0.4,88.2,
104,1.040,-0.3,0.4,88.2,
105,1.050,-0.3,0.4,88.2,
106,1.060,-0.3,0.4,88.2,
107,1.070,-0.3,0.4,88.2,
108,1.080,-0.3,0.4,88.2,
109,1.090,-0.3,0.4,88.2,
110,1.100,-0.3,0.4,88.2,
111,1.110,-0.3,0.4,88.2,
112,1.120,-0.3,0.4,88.2,
113,1.130,-0.3,0.4,88.2,
114,1.140,-0.3,0.4,88.2,
115,1.150,-0.3,0.4,88.2,
116,1.160,-0.3,0.4,88.2,
117,1.170,-0.3,0.4,88.2,
118,1.180,-0.3,0.4,88.2,
119,1.190,-0.3,0.4,88.2,
120,1.200,-0.3,0.4,88.2,
121,1.210,-0.3,0.4,88.2,
122,1.220,-0.3,0.4,88.2,
123,1.230,-0.3,0.4,88.2,
124,1.240,-0.3,0.4,88.2,
125,1.250,-0.3,0.4,88.2,
126,1.260,-0.3,0.4,88.2,
127,1.270,-0.3,0.4,88.2,
128,1.280,-0.3,0.4,88.2,
129,1.290,-0.4,0.4,88.2,
130,1.300,-0.4,0.4,88.2,
131,1.310,-0.4,0.4,88.2,
132,1.320,-0.4,0.4,88.2,
133,1.330,-0.4,0.4,88.2,
134,1.340,-0.4,0.4,88.2,
135,1.350,-0.4,0.4,88.2,
136,1.360,-0.4,0.4,88.2,
137,1.370,-0.4,0.4,88.2,
138,1.380,-0.4,0.4,88.2,
139,1.390,-0.4,0.4,88.2,
140,1.400,-0.4,0.4,88.2,
141,1.410,-0.4,0.4,88.2,
142,1.420,-0.4,0.4,88.2,
143,1.430,-0.5,0.4,88.2,
144,1.440,-0.5,0.4,88.2,
145,1.450,-0.5,0.4,88.2,
146,1.460,-0.5,0.4,88.2,
147,1.470,-0.5,0.4,88.2,
148,1.480,-0.5,0.4,88.2,
149,1.490,-0.5,0.4,88.2,
150,1.500,-0.5,0.4,88.2,
151,1.510,-0.5,0.4,88.2,
152,1.520,-0.5,0.4,88.2,
153,1.530,-0.5,0.4,88.2,
154,1.540,-0.5,0.4,88.2,
155,1.550,-0.5,0.4,88.2,
156,1.560,-0.5,0.4,88.2,
157,1.570,-0.5,0.4,88.2,
158,1.580,-0.5,0.4,88.2,
159,1.590,-0.5,0.4,88.2,
160,1.600,-0.5,0.4,88.2,
161,1.610,-0.5,0.4,88.2,
162,1.620,-0.5,0.4,88.2,
163,1.630,-0.5,0.4,88.2,
164,1.640,-0.5,0.4,88.2,
165,1.650,-0.6,0.4,88.2,
166,1.660,-0.6,0.4,88.2,
167,1.670,-0.6,0.4,88.2,
168,1.680,-0.6,0.4,88.2,
169,1.690,-0.6,0.4,88.2,
170,1.700,-0.6,0.4,88.2,
171,1.710,-0.6,0.4,88.2,
172,1.720,-0.6,0.4,88.2,
173,1.730,-0.6,0.4,88.2,
174,1.740,-0.6,0.4,88.2,
175,1.750,-0.6,0.4,88.2,
176,1.760,-0.6,0.4,88.2,
177,1.770,-0.6,0.4,88.2,
178,1.780,-0.6,0.4,88.2,
179,1.790,-0.6,0.4,88.2,
180,1.800,-0.6,0.4,88.2,
181,1.810,-0.6,0.4,88.2,
182,1.820,-0.6,0.4,88.2,
183,1.830,-0.6,0.4,88.2,
184,1.840,-0.6,0.4,88.2,
185,1.850,-0.6,0.4,88.2,
186,1.860,-0.6,0.4,88.2,
187,1.870,-0.6,0.4,88.2,
188,1.880,-0.6,0.4,88.2,
