Frame,Time,RightBicepsbrachiicaputbrevis,RightTricepsbrachiicaputlongus,LeftBicepsbrachiicaputbrevis,LeftTricepsbrachiicaputlongus,RightTrapeziusdescendens,LeftTrapeziusdescendens,RightLatissimusDorsi,LeftLatissimusDorsi,
0,0.000,0.010456,-0.002712,-0.002881,-0.003354,0.015279,-0.004869,0.001644,-0.001224,
1,0.001,0.012012,0.004072,-0.002218,-0.002760,0.033961,0.025361,0.002327,-0.001864,
2,0.002,0.011711,-0.006186,0.001638,-0.004871,0.027668,0.045522,-0.001907,-0.005358,
3,0.003,0.002790,-0.002077,0.001106,-0.013236,0.021999,0.071156,-0.008356,-0.006977,
4,0.004,0.007060,-0.008269,-0.002457,-0.012308,0.026345,0.094430,-0.014316,-0.002875,
5,0.005,-0.002712,-0.002645,-0.004646,-0.011379,0.039111,0.109602,-0.015022,-0.005353,
6,0.006,-0.003518,-0.003615,-0.001780,-0.005049,0.050436,0.112612,-0.007278,-0.006470,
7,0.007,-0.006707,-0.000880,0.001753,-0.000919,0.067949,0.105605,-0.002078,-0.007584,
8,0.008,-0.002964,-0.001693,0.003922,-0.003223,0.057498,0.072164,-0.004826,-0.006511,
9,0.009,-0.001421,-0.002330,0.001872,0.003092,0.048031,0.038566,-0.007411,-0.001248,
10,0.010,-0.007337,-0.001618,0.004381,0.005510,0.044644,-0.018519,-0.005254,-0.000552,
11,0.011,-0.007673,-0.001077,0.005357,0.003191,0.036681,-0.057345,-0.008846,0.004333,
12,0.012,-0.012418,-0.002734,0.000936,-0.006230,0.038201,-0.092645,-0.001956,0.000109,
13,0.013,-0.012618,0.005043,0.003781,-0.005175,0.027368,-0.086022,-0.004692,0.002979,
14,0.014,-0.010458,0.001836,0.001219,-0.004288,0.024834,-0.044915,-0.005559,0.004487,
15,0.015,-0.018802,0.002853,0.000862,-0.001370,0.015732,0.003279,-0.000335,0.001443,
16,0.016,-0.017182,0.000155,0.002026,0.003070,0.004449,0.009869,0.001689,-0.000568,
17,0.017,-0.017783,0.001002,-0.000522,0.002092,-0.011368,0.015757,-0.001358,0.001303,
18,0.018,-0.022612,-0.004224,-0.003738,0.002645,-0.013954,0.021124,0.001512,-0.001046,
19,0.019,-0.013765,-0.003535,-0.004067,-0.005242,-0.008898,0.006866,0.002010,-0.002040,
20,0.020,-0.010193,-0.003014,0.001670,-0.012606,-0.004325,-0.006195,0.004209,0.002182,
21,0.021,-0.000383,0.002221,-0.002556,-0.011853,-0.003273,-0.025988,0.008109,-0.002037,
22,0.022,-0.001240,0.001534,-0.001877,-0.002474,-0.007762,-0.022252,0.011662,-0.003706,
23,0.023,-0.004152,0.003209,0.001672,0.006224,-0.006941,-0.018828,0.010470,-0.005190,
