Frame,Time,RightBicepsBrachiiCaputBrevis,RightTricepsBrachiiCaputLongus,LeftBicepsBrachiiCaputBrevis,LeftTricepsBrachiiCaputLongus,RightTrapeziusDescendens,LeftTrapeziusDescendens,RightLatissimusDorsi,LeftLatissimusDorsi
0,0.000,0.002116,-0.002841,0.005838,-0.013643,0.025332,-0.003586,-0.001967,0.004371
1,0.001,0.005447,-0.001822,-0.000500,-0.022901,0.056833,0.028095,-0.004969,-0.019172
2,0.002,0.000997,0.000850,-0.002950,-0.037077,0.073273,0.057904,0.000636,-0.034759
3,0.003,0.002985,0.003332,-0.000676,-0.044418,0.067146,0.084538,-0.004707,-0.054515
4,0.004,0.001589,0.005451,-0.001271,-0.036452,0.061623,0.086791,0.000075,-0.072375
5,0.005,0.003420,0.003354,0.005743,-0.011349,0.056515,0.069295,0.002993,-0.068780
6,0.006,0.001539,0.001627,-0.000603,-0.007774,0.044129,0.059568,0.006907,-0.065401
7,0.007,0.005740,0.005614,-0.004749,-0.010264,0.018506,0.045163,0.007290,-0.058218
8,0.008,0.002506,0.006046,-0.006867,-0.012574,0.015100,0.032285,0.002968,-0.040593
9,0.009,0.005872,0.007135,-0.003243,-0.009842,-0.005668,0.025210,0.009286,-0.028688
10,0.010,0.002300,0.004191,-0.000115,-0.002966,-0.030068,0.018678,0.015067,-0.013917
11,0.011,0.001096,0.005133,0.001650,-0.004708,-0.032951,0.008995,0.017124,0.003193
12,0.012,0.003621,0.003389,-0.003016,-0.002593,-0.023912,0.000229,0.017657,0.010064
13,0.013,0.004285,0.001001,-0.003448,0.002676,-0.010107,-0.007624,0.020545,0.024396
14,0.014,0.003598,0.002833,-0.002864,0.004367,-0.007630,-0.020268,0.012816,0.030034
15,0.015,-0.001324,0.005645,-0.006344,0.003193,-0.018532,-0.012027,0.007497,0.031752
16,0.016,0.004243,0.005926,-0.002045,0.004520,-0.040542,-0.007677,0.008271,0.015004
17,0.017,-0.002674,0.004038,-0.006776,0.008195,-0.048118,0.006243,0.007192,0.004964
18,0.018,-0.004407,0.002332,-0.006158,0.011505,-0.038876,0.010018,0.009664,-0.015036
19,0.019,0.004104,0.001328,-0.008563,0.010580,-0.008598,0.015932,0.005913,-0.033874
20,0.020,-0.005896,0.002000,-0.008100,0.000416,0.011337,0.007863,0.003866,-0.040902
21,0.021,-0.004250,0.000325,-0.005973,0.001878,0.029243,0.000349,-0.000353,-0.038481
22,0.022,-0.005130,-0.001840,-0.002358,0.000800,0.032234,-0.004429,-0.007900,-0.028127
23,0.023,-0.003836,0.001884,0.001895,0.006417,0.034858,-0.003797,-0.004794,-0.026071
24,0.024,-0.002558,-0.000626,0.000241,-0.002950,0.048185,-0.003344,-0.002030,-0.017428
25,0.025,-0.006835,-0.000932,0.004969,0.003358,0.040601,-0.009935,0.000560,-0.006602
26,0.026,-0.000686,-0.002912,0.003280,-0.013532,0.038108,-0.009257,-0.000056,0.006060
27,0.027,-0.004154,0.000655,0.002783,-0.015692,0.023721,-0.011580,-0.002017,0.014627
28,0.028,-0.003243,0.000334,0.000270,-0.013291,0.014326,-0.006800,-0.002446,0.019288
29,0.029,-0.004688,-0.003516,-0.001884,-0.011056,0.002501,-0.012592,-0.002864,0.023421
30,0.030,-0.004962,-0.005986,-0.001513,-0.009034,-0.011230,-0.016311,0.004970,0.024663
31,0.031,-0.008256,-0.000894,-0.001821,-0.003844,-0.020313,-0.016961,-0.002716,0.019131
32,0.032,-0.002982,0.001133,-0.003472,0.003799,-0.035176,-0.011213,-0.003624,0.011911
33,0.033,-0.006307,-0.001891,0.000265,-0.003072,-0.044878,-0.002818,-0.000819,0.001664
34,0.034,-0.004414,-0.001369,0.001452,-0.004189,-0.042590,-0.003830,0.000135,-0.002311
