Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
0,0.000,2.5,-0.2,0.1
1,0.010,0.9,0.0,0.1
2,0.020,-0.6,0.0,0.1
3,0.030,-0.9,0.0,0.1
4,0.040,-0.7,-0.1,0.1
5,0.050,0.0,-0.3,0.1
6,0.060,0.7,-0.4,0.1
7,0.070,0.7,-0.5,0.2
8,0.080,0.3,-0.4,0.1
9,0.090,0.0,-0.4,0.0
10,0.100,-0.1,-0.4,0.1
11,0.110,0.1,-0.4,0.1
12,0.120,0.2,-0.3,0.0
13,0.130,0.6,-0.2,0.0
14,0.140,0.7,-0.2,-0.1
15,0.150,0.1,-0.1,-0.1
16,0.160,-0.4,0.0,-0.1
17,0.170,-0.6,0.0,-0.1
18,0.180,-0.9,0.0,0.0
19,0.190,-0.9,0.0,-0.1
20,0.200,-0.2,-0.1,-0.1
21,0.210,0.1,-0.1,-0.1
22,0.220,-0.5,-0.1,-0.1
23,0.230,-0.7,-0.1,-0.1
24,0.240,-0.7,-0.1,-0.1
25,0.250,-0.7,0.0,-0.2
26,0.260,0.0,0.1,-0.3
27,0.270,0.5,0.1,-0.2
28,0.280,1.0,0.2,-0.4
29,0.290,1.2,0.2,-0.4
30,0.300,0.5,0.4,-0.3
31,0.310,-0.2,0.5,-0.4
32,0.320,-1.2,0.5,-0.4
33,0.330,-1.8,0.6,-0.4
34,0.340,-2.6,0.7,-0.2
35,0.350,-4.0,0.7,-0.1
36,0.360,-4.6,0.7,-0.1
37,0.370,-4.2,0.6,-0.1
38,0.380,-2.9,0.4,-0.1
39,0.390,-1.2,0.2,-0.2
40,0.400,0.7,0.1,-0.2
41,0.410,1.1,-0.1,-0.2
42,0.420,-0.1,0.0,-0.2
43,0.430,-0.6,0.1,-0.2
44,0.440,-1.3,0.1,-0.2
45,0.450,-0.7,0.1,-0.2
46,0.460,0.4,0.0,-0.2
47,0.470,1.0,-0.1,-0.2
48,0.480,0.8,-0.1,-0.2
49,0.490,0.8,-0.2,-0.2
50,0.500,1.0,-0.1,-0.3
51,0.510,1.2,-0.2,-0.2
52,0.520,1.2,-0.3,-0.3
53,0.530,0.9,-0.2,-0.4
54,0.540,0.8,-0.2,-0.4
55,0.550,0.1,-0.2,-0.3
56,0.560,-1.0,-0.2,-0.3
57,0.570,-1.2,-0.1,-0.4
58,0.580,-0.8,-0.1,-0.4
59,0.590,-0.3,-0.1,-0.4
60,0.600,-0.2,0.0,-0.5
61,0.610,-0.3,0.1,-0.4
62,0.620,-0.3,0.1,-0.4
63,0.630,-0.2,0.2,-0.3
64,0.640,0.0,0.1,-0.3
65,0.650,0.0,0.2,-0.3
66,0.660,0.2,0.1,-0.5
67,0.670,0.0,0.1,-0.3
68,0.680,-0.2,0.1,-0.2
69,0.690,-0.1,0.1,-0.2
70,0.700,0.0,0.1,-0.1
71,0.710,0.4,0.1,0.0
72,0.720,0.5,0.0,-0.1
73,0.730,0.4,0.0,-0.1
74,0.740,0.2,0.0,-0.1
75,0.750,0.2,0.0,-0.1
76,0.760,0.4,0.0,-0.1
77,0.770,0.3,0.0,-0.1
78,0.780,0.4,0.0,-0.1
79,0.790,0.8,-0.1,-0.1
80,0.800,1.0,-0.1,0.0
81,0.810,1.0,-0.1,0.0
82,0.820,1.3,-0.2,-0.1
83,0.830,1.7,-0.2,0.0
84,0.840,2.3,-0.4,-0.1
85,0.850,2.7,-0.5,-0.1
86,0.860,2.3,-0.4,-0.1
87,0.870,1.8,-0.2,0.0
88,0.880,1.7,-0.2,-0.1
89,0.890,1.8,-0.2,-0.1
90,0.900,2.4,-0.1,-0.2
91,0.910,1.9,-0.2,-0.1
92,0.920,1.8,-0.2,-0.1
93,0.930,1.9,-0.4,-0.2
94,0.940,1.8,-0.6,-0.1
95,0.950,0.4,-0.7,0.0
96,0.960,-0.7,-1.0,0.2
97,0.970,-2.0,-1.1,0.4
98,0.980,-3.1,-1.3,0.4
99,0.990,-3.4,-1.5,0.5
100,1.000,-3.0,-1.7,0.5
101,1.010,-1.8,-1.9,0.5
102,1.020,-1.2,-2.0,0.4
103,1.030,-0.7,-2.0,0.4
104,1.040,-1.0,-1.7,0.4
105,1.050,-1.5,-1.5,0.2
106,1.060,-1.6,-1.3,0.2
107,1.070,-1.5,-1.0,0.1
108,1.080,-1.7,-0.8,0.1
109,1.090,-2.0,-0.5,0.1
110,1.100,-1.8,-0.2,0.0
111,1.110,-0.9,-0.2,0.0
112,1.120,-0.2,0.0,-0.1
113,1.130,-0.2,0.1,-0.2
114,1.140,-0.3,0.2,-0.1
115,1.150,-0.1,0.2,-0.1
116,1.160,0.1,0.3,-0.2
117,1.170,-0.1,0.2,-0.2
118,1.180,-1.0,0.2,-0.2
119,1.190,-1.3,0.3,-0.2
120,1.200,-0.7,0.2,-0.2
121,1.210,0.0,0.1,-0.1
122,1.220,0.4,0.1,-0.1
123,1.230,0.7,-0.1,0.0
124,1.240,1.3,-0.2,0.0
125,1.250,1.6,-0.4,0.1
126,1.260,1.1,-0.4,0.0
127,1.270,0.1,-0.2,0.1
128,1.280,-0.7,-0.1,0.0
129,1.290,-0.7,-0.2,0.1
130,1.300,0.0,-0.2,0.0
131,1.310,0.5,-0.1,0.0
132,1.320,0.9,-0.1,0.0
133,1.330,1.7,0.0,0.0
134,1.340,2.1,0.0,-0.1
