Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,-0.3,0.0,0.0,
1,0.010,-0.5,0.0,0.1,
2,0.020,-0.5,0.0,0.0,
3,0.030,-0.1,-0.1,0.0,
4,0.040,0.1,-0.2,0.1,
5,0.050,0.3,-0.2,0.1,
6,0.060,0.1,-0.2,0.1,
7,0.070,-0.2,-0.2,0.0,
8,0.080,-0.6,-0.1,0.0,
9,0.090,-0.7,0.1,0.0,
10,0.100,-0.7,0.1,0.0,
11,0.110,-0.8,0.1,0.0,
12,0.120,-0.7,0.2,0.0,
13,0.130,-0.7,0.2,-0.1,
14,0.140,-0.3,0.2,0.0,
15,0.150,-0.5,0.2,0.0,
16,0.160,-1.0,0.1,0.0,
17,0.170,-1.6,0.1,0.0,
18,0.180,-1.9,0.0,0.0,
19,0.190,-2.0,-0.1,0.0,
20,0.200,-1.5,-0.1,0.0,
21,0.210,-1.0,-0.2,0.0,
22,0.220,-0.6,-0.2,0.1,
23,0.230,-0.4,-0.1,0.1,
24,0.240,-0.5,-0.2,0.0,
25,0.250,-0.7,-0.1,0.0,
26,0.260,-0.9,-0.1,0.0,
27,0.270,-0.9,-0.1,0.0,
28,0.280,-0.7,-0.1,-0.1,
29,0.290,-0.1,-0.3,0.0,
30,0.300,0.4,-0.2,0.0,
31,0.310,0.8,-0.3,0.0,
32,0.320,1.2,-0.3,0.0,
33,0.330,1.2,-0.2,-0.1,
34,0.340,1.2,-0.2,0.0,
35,0.350,0.9,0.0,0.0,
36,0.360,0.9,-0.1,-0.1,
37,0.370,1.1,0.0,0.0,
38,0.380,1.2,0.0,-0.1,
39,0.390,1.1,0.1,0.0,
40,0.400,1.1,0.0,0.0,
41,0.410,0.9,0.0,0.0,
42,0.420,0.4,-0.1,0.0,
43,0.430,0.0,-0.1,-0.1,
44,0.440,-0.7,-0.1,0.0,
45,0.450,-1.3,-0.1,0.1,
46,0.460,-1.4,-0.3,0.1,
47,0.470,-1.0,-0.2,0.0,
48,0.480,-0.2,-0.2,0.0,
49,0.490,0.2,-0.2,0.0,
50,0.500,0.7,-0.2,0.0,
51,0.510,0.8,-0.1,0.1,
52,0.520,0.5,-0.2,0.0,
53,0.530,-0.1,-0.1,0.0,
54,0.540,-0.5,-0.1,0.0,
55,0.550,-0.8,0.0,0.0,
56,0.560,-0.7,0.0,0.0,
57,0.570,-0.6,0.1,0.0,
58,0.580,-0.4,0.2,0.0,
59,0.590,-0.4,0.3,0.1,
60,0.600,-0.4,0.4,0.0,
61,0.610,-0.8,0.5,0.0,
62,0.620,-1.0,0.5,0.0,
63,0.630,-1.2,0.6,0.0,
64,0.640,-0.8,0.6,0.0,
65,0.650,-0.3,0.4,0.0,
66,0.660,-0.1,0.5,0.0,
67,0.670,-0.2,0.5,0.0,
68,0.680,-0.4,0.5,0.0,
69,0.690,-0.7,0.4,0.0,
70,0.700,-1.0,0.4,-0.1,
71,0.710,-1.2,0.3,0.0,
72,0.720,-1.4,0.3,0.0,
73,0.730,-1.3,0.2,0.0,
74,0.740,-0.9,0.1,0.0,
75,0.750,-0.8,0.0,0.0,
