Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,7.574,0.180,159.800,
1,0.010,7.604,0.179,159.799,
2,0.020,7.635,0.175,159.799,
3,0.030,7.665,0.174,159.798,
4,0.040,7.687,0.170,159.798,
5,0.050,7.706,0.166,159.798,
6,0.060,7.719,0.161,159.799,
7,0.070,7.723,0.157,159.799,
8,0.080,7.722,0.153,159.800,
9,0.090,7.719,0.149,159.801,
10,0.100,7.716,0.147,159.801,
11,0.110,7.713,0.146,159.802,
12,0.120,7.708,0.143,159.803,
13,0.130,7.699,0.142,159.803,
14,0.140,7.687,0.141,159.804,
15,0.150,7.672,0.139,159.805,
16,0.160,7.660,0.138,159.805,
17,0.170,7.652,0.138,159.805,
18,0.180,7.655,0.136,159.805,
19,0.190,7.662,0.133,159.804,
20,0.200,7.671,0.132,159.804,
21,0.210,7.678,0.129,159.803,
22,0.220,7.683,0.126,159.803,
23,0.230,7.686,0.125,159.804,
24,0.240,7.687,0.124,159.805,
25,0.250,7.686,0.123,159.805,
26,0.260,7.686,0.122,159.806,
27,0.270,7.687,0.121,159.807,
28,0.280,7.690,0.121,159.807,
29,0.290,7.696,0.121,159.807,
30,0.300,7.697,0.122,159.807,
31,0.310,7.691,0.124,159.806,
32,0.320,7.681,0.125,159.807,
33,0.330,7.666,0.127,159.807,
34,0.340,7.646,0.126,159.808,
35,0.350,7.624,0.126,159.808,
36,0.360,7.600,0.125,159.809,
37,0.370,7.580,0.124,159.809,
38,0.380,7.563,0.123,159.809,
39,0.390,7.551,0.124,159.810,
40,0.400,7.543,0.127,159.809,
41,0.410,7.537,0.130,159.809,
42,0.420,7.533,0.133,159.809,
43,0.430,7.531,0.135,159.808,
44,0.440,7.532,0.140,159.807,
45,0.450,7.533,0.143,159.808,
46,0.460,7.535,0.144,159.808,
47,0.470,7.539,0.145,159.808,
48,0.480,7.540,0.146,159.808,
49,0.490,7.544,0.149,159.808,
50,0.500,7.547,0.150,159.808,
51,0.510,7.551,0.154,159.808,
52,0.520,7.553,0.157,159.809,
53,0.530,7.558,0.157,159.809,
54,0.540,7.565,0.157,159.809,
55,0.550,7.573,0.157,159.809,
56,0.560,7.578,0.154,159.809,
57,0.570,7.583,0.155,159.809,
58,0.580,7.584,0.153,159.809,
59,0.590,7.581,0.152,159.809,
60,0.600,7.575,0.149,159.809,
61,0.610,7.567,0.144,159.809,
62,0.620,7.559,0.144,159.810,
63,0.630,7.550,0.143,159.810,
64,0.640,7.539,0.143,159.811,
65,0.650,7.525,0.144,159.812,
66,0.660,7.510,0.143,159.812,
67,0.670,7.494,0.141,159.813,
68,0.680,7.473,0.136,159.814,
69,0.690,7.455,0.132,159.816,
70,0.700,7.433,0.135,159.818,
71,0.710,7.409,0.139,159.819,
72,0.720,7.384,0.147,159.820,
73,0.730,7.354,0.151,159.821,
74,0.740,7.324,0.154,159.820,
75,0.750,7.294,0.155,159.820,
76,0.760,7.267,0.154,159.821,
77,0.770,7.240,0.153,159.821,
78,0.780,7.214,0.153,159.821,
79,0.790,7.192,0.153,159.821,
80,0.800,7.174,0.156,159.821,
81,0.810,7.164,0.157,159.821,
82,0.820,7.162,0.156,159.821,
83,0.830,7.174,0.153,159.821,
84,0.840,7.195,0.150,159.821,
85,0.850,7.227,0.146,159.820,
86,0.860,7.263,0.143,159.820,
87,0.870,7.299,0.143,159.820,
88,0.880,7.329,0.143,159.819,
89,0.890,7.352,0.145,159.819,
90,0.900,7.369,0.145,159.818,
91,0.910,7.379,0.145,159.818,
92,0.920,7.386,0.144,159.819,
93,0.930,7.393,0.143,159.819,
94,0.940,7.399,0.141,159.820,
95,0.950,7.403,0.137,159.820,
96,0.960,7.403,0.132,159.820,
97,0.970,7.401,0.129,159.821,
98,0.980,7.395,0.125,159.821,
99,0.990,7.387,0.122,159.822,
100,1.000,7.381,0.121,159.823,
101,1.010,7.376,0.120,159.824,
102,1.020,7.378,0.119,159.825,
103,1.030,7.382,0.117,159.827,
104,1.040,7.386,0.112,159.828,
105,1.050,7.388,0.106,159.829,
106,1.060,7.388,0.098,159.831,
107,1.070,7.383,0.089,159.832,
108,1.080,7.381,0.083,159.833,
109,1.090,7.382,0.081,159.834,
110,1.100,7.382,0.079,159.834,
111,1.110,7.383,0.079,159.834,
112,1.120,7.385,0.083,159.835,
113,1.130,7.384,0.086,159.834,
114,1.140,7.383,0.089,159.833,
115,1.150,7.381,0.095,159.832,
116,1.160,7.379,0.100,159.831,
117,1.170,7.380,0.106,159.831,
118,1.180,7.379,0.111,159.830,
119,1.190,7.379,0.117,159.829,
120,1.200,7.379,0.124,159.827,
121,1.210,7.378,0.130,159.826,
122,1.220,7.376,0.134,159.825,
123,1.230,7.373,0.136,159.824,
124,1.240,7.370,0.139,159.823,
125,1.250,7.369,0.141,159.822,
126,1.260,7.369,0.143,159.822,
127,1.270,7.370,0.142,159.823,
128,1.280,7.374,0.142,159.823,
129,1.290,7.378,0.141,159.823,
130,1.300,7.380,0.135,159.823,
131,1.310,7.384,0.128,159.824,
132,1.320,7.389,0.122,159.825,
133,1.330,7.391,0.114,159.826,
134,1.340,7.393,0.107,159.826,
135,1.350,7.397,0.102,159.827,
136,1.360,7.401,0.097,159.827,
137,1.370,7.407,0.094,159.827,
138,1.380,7.406,0.089,159.828,
139,1.390,7.297,0.083,159.830,
140,1.400,7.207,0.072,159.836,
141,1.410,7.151,0.066,159.840,
142,1.420,7.131,0.081,159.841,
