Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,2.625,-0.122,0.000,
1,0.010,2.930,-0.122,0.000,
2,0.020,2.869,-0.244,0.000,
3,0.030,2.625,-0.244,0.000,
4,0.040,2.136,-0.244,0.000,
5,0.050,1.587,-0.183,0.061,
6,0.060,0.671,-0.244,0.061,
7,0.070,-0.122,-0.244,0.061,
8,0.080,-0.427,-0.244,0.061,
9,0.090,-0.610,-0.305,0.122,
10,0.100,-0.488,-0.305,0.061,
11,0.110,-0.305,-0.305,0.061,
12,0.120,-0.610,-0.305,0.000,
13,0.130,-0.977,-0.122,0.122,
14,0.140,-1.465,-0.061,0.061,
15,0.150,-1.465,-0.061,0.000,
16,0.160,-1.038,0.000,0.000,
17,0.170,-0.366,-0.122,0.000,
18,0.180,0.427,-0.122,0.000,
19,0.190,0.671,-0.183,0.000,
20,0.200,0.610,-0.122,0.000,
21,0.210,0.244,-0.122,0.000,
22,0.220,0.000,-0.061,0.000,
23,0.230,0.000,0.061,0.061,
24,0.240,0.000,-0.061,0.000,
25,0.250,-0.183,-0.061,0.000,
26,0.260,-0.061,0.000,0.061,
27,0.270,0.183,-0.061,0.061,
28,0.280,0.305,0.000,0.000,
29,0.290,0.305,0.000,0.000,
30,0.300,-0.183,0.000,0.000,
31,0.310,-0.854,0.061,-0.061,
32,0.320,-1.282,0.061,0.000,
33,0.330,-1.709,0.061,0.000,
34,0.340,-2.136,0.061,0.061,
35,0.350,-2.319,0.000,0.061,
36,0.360,-2.319,0.000,0.000,
37,0.370,-2.014,0.061,0.000,
38,0.380,-1.404,0.000,0.000,
39,0.390,-1.038,0.183,0.000,
40,0.400,-0.732,0.183,-0.061,
41,0.410,-0.549,0.244,0.000,
42,0.420,-0.366,0.183,-0.061,
43,0.430,-0.061,0.122,-0.061,
44,0.440,0.000,0.061,-0.061,
45,0.450,0.061,0.183,0.000,
46,0.460,0.061,0.183,0.000,
47,0.470,0.122,0.122,0.000,
48,0.480,0.305,0.183,0.000,
49,0.490,0.427,0.244,0.000,
50,0.500,0.183,0.122,0.000,
51,0.510,0.183,0.244,0.000,
52,0.520,0.244,0.122,0.000,
53,0.530,0.610,0.000,0.000,
54,0.540,0.549,0.000,0.000,
55,0.550,0.427,0.000,0.000,
56,0.560,0.366,-0.122,0.000,
57,0.570,0.000,0.000,0.000,
58,0.580,-0.122,-0.183,0.061,
59,0.590,-0.549,-0.061,0.000,
60,0.600,-0.854,-0.061,0.061,
61,0.610,-0.916,-0.061,0.000,
62,0.620,-0.977,-0.061,0.000,
63,0.630,-1.160,-0.061,0.000,
64,0.640,-1.221,-0.061,0.061,
65,0.650,-1.526,-0.061,0.061,
66,0.660,-1.526,0.000,0.000,
67,0.670,-1.831,0.000,0.061,
68,0.680,-1.831,-0.122,0.122,
69,0.690,-1.892,-0.122,0.183,
70,0.700,-2.319,-0.183,0.183,
71,0.710,-2.625,-0.061,0.122,
72,0.720,-2.625,0.000,0.061,
73,0.730,-3.235,0.000,0.061,
74,0.740,-3.113,0.000,0.000,
75,0.750,-2.930,0.000,0.000,
76,0.760,-2.563,0.061,0.061,
77,0.770,-2.686,0.061,0.000,
78,0.780,-2.258,0.183,0.000,
79,0.790,-1.892,0.183,-0.061,
80,0.800,-1.282,0.244,0.000,
81,0.810,-0.549,0.061,0.000,
82,0.820,0.366,-0.061,0.000,
83,0.830,1.526,-0.122,0.061,
84,0.840,2.625,-0.244,0.000,
85,0.850,3.357,-0.244,0.000,
86,0.860,3.479,-0.244,0.000,
87,0.870,3.357,-0.183,0.000,
88,0.880,2.441,0.000,0.000,
89,0.890,1.648,0.000,0.000,
90,0.900,1.099,0.061,-0.061,
91,0.910,0.671,0.000,0.000,
92,0.920,0.488,0.000,0.000,
93,0.930,0.549,-0.122,0.000,
94,0.940,0.427,-0.122,0.122,
95,0.950,0.061,-0.305,0.061,
96,0.960,-0.183,-0.366,0.061,
97,0.970,-0.549,-0.122,0.061,
98,0.980,-0.732,-0.183,0.061,
99,0.990,-0.977,-0.183,0.061,
100,1.000,-0.549,-0.122,0.061,
101,1.010,-0.061,-0.244,0.061,
102,1.020,0.366,-0.366,0.122,
103,1.030,0.305,-0.366,0.122,
104,1.040,0.305,-0.427,0.183,
105,1.050,0.000,-0.366,0.183,
106,1.060,-0.244,-0.427,0.122,
107,1.070,-0.549,-0.305,0.183,
108,1.080,-0.305,-0.305,0.183,
109,1.090,-0.244,-0.122,0.122,
110,1.100,-0.122,-0.061,0.000,
111,1.110,0.000,0.061,0.000,
112,1.120,0.000,0.183,0.000,
113,1.130,0.000,0.183,-0.061,
114,1.140,-0.183,0.183,-0.122,
115,1.150,-0.122,0.305,-0.122,
116,1.160,0.000,0.183,-0.061,
117,1.170,0.000,0.305,-0.061,
118,1.180,-0.122,0.305,-0.061,
119,1.190,-0.061,0.305,-0.183,
120,1.200,0.000,0.366,-0.183,
121,1.210,-0.183,0.366,-0.122,
122,1.220,-0.244,0.305,-0.122,
123,1.230,-0.244,0.244,-0.061,
124,1.240,-0.244,0.122,-0.122,
125,1.250,-0.061,0.061,-0.061,
126,1.260,0.000,0.000,0.000,
127,1.270,0.000,-0.061,0.061,
128,1.280,0.122,-0.183,0.061,
129,1.290,0.183,-0.183,0.000,
130,1.300,0.183,-0.305,0.061,
131,1.310,0.427,-0.427,0.061,
132,1.320,0.061,-0.427,0.122,
133,1.330,0.000,-0.488,0.122,
134,1.340,-0.061,-0.427,0.122,
135,1.350,0.122,-0.366,0.061,
136,1.360,0.366,-0.305,0.061,
137,1.370,0.488,-0.122,0.061,
138,1.380,-0.977,-0.183,0.000,
139,1.390,-10.742,0.061,0.183,
140,1.400,-10.193,0.000,0.732,
141,1.410,-4.456,-0.061,0.305,
142,1.420,-0.610,0.122,0.000,
143,1.430,-3.113,0.549,-0.122,
144,1.440,-2.563,0.793,0.000,
145,1.450,0.000,0.732,0.000,
146,1.460,0.916,0.732,-0.061,
147,1.470,0.244,0.610,-0.061,
148,1.480,0.793,0.427,-0.061,
149,1.490,1.953,0.366,-0.061,
150,1.500,3.235,0.061,-0.122,
151,1.510,3.052,0.183,-0.122,
152,1.520,2.441,0.061,0.000,
153,1.530,1.526,0.122,0.000,
154,1.540,0.488,0.000,0.000,
155,1.550,0.183,-0.122,0.000,
156,1.560,0.549,-0.061,0.000,
157,1.570,1.221,-0.122,0.061,
158,1.580,1.648,-0.305,0.122,
159,1.590,1.892,-0.488,0.061,
160,1.600,2.441,-0.671,0.122,
161,1.610,2.625,-0.793,0.183,
162,1.620,2.441,-0.854,0.183,
163,1.630,1.892,-0.916,0.244,
164,1.640,1.831,-0.854,0.305,
165,1.650,0.732,-0.671,0.183,
166,1.660,0.732,-0.610,0.183,
167,1.670,-0.366,-0.549,0.183,
168,1.680,-1.099,-0.305,0.061,
169,1.690,-1.343,-0.183,0.061,
170,1.700,-1.587,0.000,0.061,
171,1.710,-2.380,0.000,0.000,
172,1.720,-2.686,0.244,0.000,
173,1.730,-2.625,0.122,0.000,
174,1.740,-2.625,0.122,0.000,
175,1.750,-2.319,-0.061,0.122,
176,1.760,-1.892,-0.061,0.183,
177,1.770,-1.587,-0.061,0.122,
178,1.780,-0.671,-0.122,0.122,
179,1.790,-0.610,0.061,0.061,
180,1.800,-0.427,0.000,0.000,
181,1.810,0.000,0.244,0.000,
182,1.820,-0.427,0.244,0.000,
183,1.830,-0.671,0.366,-0.061,
184,1.840,-0.793,0.305,0.000,
185,1.850,-0.854,0.305,0.000,
186,1.860,-1.038,0.305,-0.122,
187,1.870,-1.038,0.366,0.000,
188,1.880,-1.221,0.366,-0.061,
189,1.890,-0.793,0.244,-0.183,
190,1.900,-0.366,0.244,-0.061,
191,1.910,-0.427,0.366,0.000,
192,1.920,-0.183,0.244,-0.061,
193,1.930,-0.061,0.244,-0.061,
194,1.940,-0.061,0.305,0.000,
195,1.950,0.000,0.122,0.000,
196,1.960,0.000,0.122,0.061,
197,1.970,0.488,0.000,0.000,
198,1.980,0.793,0.000,0.000,
199,1.990,1.343,-0.122,0.061,
200,2.000,0.793,0.000,0.000,
201,2.010,0.671,-0.122,0.061,
202,2.020,0.244,-0.061,0.122,
203,2.030,0.061,-0.122,0.122,
204,2.040,0.427,-0.244,0.122,
205,2.050,0.549,-0.366,0.122,
206,2.060,0.977,-0.366,0.183,
207,2.070,1.160,-0.305,0.183,
208,2.080,0.916,-0.244,0.183,
209,2.090,0.305,-0.183,0.183,
210,2.100,-0.061,-0.122,0.122,
211,2.110,-0.854,-0.183,0.183,
212,2.120,-1.587,-0.061,0.122,
213,2.130,-1.709,-0.122,0.122,
214,2.140,-1.404,-0.122,0.183,
215,2.150,-1.038,-0.122,0.061,
216,2.160,-1.038,0.000,0.061,
217,2.170,-0.793,0.061,0.000,
218,2.180,-0.671,0.183,0.000,
219,2.190,-0.671,0.183,0.000,
220,2.200,-0.977,0.244,-0.061,
221,2.210,-1.038,0.244,-0.061,
222,2.220,-0.671,0.122,-0.061,
223,2.230,-0.366,0.061,0.000,
224,2.240,-0.366,0.122,0.000,
225,2.250,-0.366,0.000,0.000,
226,2.260,-0.488,-0.061,0.000,
227,2.270,-0.122,-0.061,0.061,
228,2.280,-0.122,-0.183,0.061,
229,2.290,0.061,-0.183,0.000,
230,2.300,0.244,-0.122,0.000,
231,2.310,-0.122,-0.183,0.000,
232,2.320,-0.610,-0.122,0.000,
233,2.330,-1.099,-0.244,0.061,
234,2.340,-1.221,-0.183,0.000,
235,2.350,-1.465,-0.305,0.000,
236,2.360,-1.587,-0.305,0.000,
237,2.370,-1.648,-0.305,0.000,
238,2.380,-1.282,-0.366,0.122,
239,2.390,-1.038,-0.305,0.061,
240,2.400,-0.977,-0.366,0.061,
241,2.410,-1.465,-0.366,0.183,
242,2.420,-2.014,-0.244,0.183,
243,2.430,-2.197,-0.305,0.183,
244,2.440,-2.136,-0.244,0.183,
245,2.450,-2.075,-0.183,0.122,
246,2.460,-1.831,-0.183,0.000,
247,2.470,-1.465,0.000,0.000,
248,2.480,-1.343,-0.061,0.000,
249,2.490,-1.221,0.061,-0.122,
250,2.500,-0.244,0.122,-0.183,
251,2.510,0.305,0.183,-0.122,
252,2.520,0.549,0.305,-0.122,
253,2.530,0.061,0.427,-0.122,
254,2.540,-0.061,0.305,-0.244,
255,2.550,0.000,0.427,-0.122,
256,2.560,0.183,0.366,-0.061,
257,2.570,0.549,0.427,-0.061,
258,2.580,1.099,0.366,-0.061,
259,2.590,1.282,0.305,-0.061,
260,2.600,1.160,0.305,-0.061,
261,2.610,0.793,0.427,-0.061,
262,2.620,0.122,0.488,-0.122,
263,2.630,-0.366,0.549,-0.061,
264,2.640,-0.977,0.549,-0.061,
265,2.650,-1.160,0.427,0.000,
266,2.660,-1.038,0.366,0.000,
267,2.670,-0.549,0.244,0.000,
268,2.680,0.000,0.244,0.000,
269,2.690,0.244,0.122,0.000,
270,2.700,0.366,0.183,0.000,
271,2.710,0.244,0.122,0.000,
272,2.720,0.061,0.061,0.000,
273,2.730,-0.122,0.000,0.061,
274,2.740,0.000,-0.061,0.122,
275,2.750,0.000,-0.183,0.061,
276,2.760,0.122,-0.061,0.183,
277,2.770,0.183,-0.122,0.000,
278,2.780,0.488,-0.122,0.061,
279,2.790,0.732,-0.122,0.122,
280,2.800,0.732,-0.061,0.000,
281,2.810,0.671,-0.183,0.000,
282,2.820,0.732,-0.122,0.000,
283,2.830,0.488,-0.122,0.122,
284,2.840,0.610,-0.183,0.122,
285,2.850,0.305,-0.183,0.122,
286,2.860,0.061,-0.305,0.061,
287,2.870,0.000,-0.305,0.061,
288,2.880,0.000,-0.183,0.061,
289,2.890,0.000,-0.061,0.000,
290,2.900,-0.183,0.000,0.000,
291,2.910,-0.610,0.000,0.061,
292,2.920,-0.854,0.000,0.061,
293,2.930,-0.977,0.000,0.000,
294,2.940,-0.732,0.061,0.000,
295,2.950,-0.549,0.061,0.000,
296,2.960,-0.305,0.000,0.000,
297,2.970,0.122,0.183,0.000,
298,2.980,-0.061,0.061,-0.061,
299,2.990,-0.244,0.122,0.000,
300,3.000,-0.732,0.122,0.000,
301,3.010,-1.282,0.122,0.000,
302,3.020,-1.221,0.000,0.061,
303,3.030,0.000,0.000,0.000,
304,3.040,0.671,-0.122,0.061,
305,3.050,1.404,-0.061,0.000,
306,3.060,1.953,-0.122,0.000,
307,3.070,1.831,0.000,-0.061,
308,3.080,1.221,0.000,-0.061,
309,3.090,0.305,0.122,0.000,
310,3.100,0.000,0.061,0.000,
311,3.110,-0.244,0.000,0.000,
312,3.120,0.244,0.000,0.000,
313,3.130,0.977,-0.061,0.000,
314,3.140,1.465,-0.122,0.000,
315,3.150,1.526,-0.122,0.000,
316,3.160,1.160,-0.244,0.000,
317,3.170,0.488,-0.061,0.000,
318,3.180,0.000,-0.061,0.000,
319,3.190,-0.183,-0.122,0.061,
320,3.200,-0.305,-0.183,0.000,
321,3.210,-0.366,-0.305,0.000,
322,3.220,-0.427,-0.305,0.000,
323,3.230,-0.427,-0.244,0.061,
324,3.240,-0.366,-0.305,0.000,
325,3.250,-0.122,-0.305,0.061,
326,3.260,-0.183,-0.305,0.122,
327,3.270,0.000,-0.244,0.122,
328,3.280,0.366,-0.305,0.061,
329,3.290,0.366,-0.305,0.000,
330,3.300,0.061,-0.122,0.061,
331,3.310,-0.305,-0.061,0.122,
332,3.320,-0.366,0.000,0.061,
333,3.330,-0.122,0.000,0.000,
334,3.340,0.000,0.183,-0.061,
335,3.350,0.061,0.305,-0.061,
336,3.360,0.366,0.427,0.000,
337,3.370,0.732,0.366,-0.122,
338,3.380,0.488,0.427,-0.061,
339,3.390,0.122,0.549,-0.122,
340,3.400,0.000,0.549,-0.122,
341,3.410,-0.244,0.549,-0.122,
342,3.420,-0.427,0.366,-0.122,
343,3.430,-0.488,0.366,-0.061,
344,3.440,-0.488,0.183,0.000,
345,3.450,-0.305,0.061,0.000,
346,3.460,-0.061,0.061,0.000,
347,3.470,0.122,0.000,0.000,
348,3.480,0.305,-0.061,0.000,
349,3.490,0.427,0.000,0.000,
350,3.500,0.549,0.000,0.000,
351,3.510,0.488,0.122,-0.061,
352,3.520,0.488,0.122,-0.061,
353,3.530,0.488,0.122,0.000,
354,3.540,0.427,0.000,0.000,
355,3.550,0.305,0.061,0.000,
356,3.560,0.244,0.000,0.000,
357,3.570,0.000,0.000,0.000,
358,3.580,-0.549,0.000,0.000,
359,3.590,-1.282,0.061,0.000,
360,3.600,-1.343,0.122,0.061,
361,3.610,-0.977,0.183,0.061,
362,3.620,-0.488,0.183,0.061,
363,3.630,-0.183,0.061,0.061,
364,3.640,0.122,0.122,0.000,
365,3.650,0.366,0.183,-0.061,
366,3.660,0.366,0.244,-0.061,
367,3.670,0.366,0.244,0.000,
368,3.680,0.000,0.183,0.000,
369,3.690,-0.488,0.183,0.000,
370,3.700,-0.916,0.122,0.000,
371,3.710,-1.160,0.183,0.000,
372,3.720,-0.916,0.000,0.000,
373,3.730,-0.793,0.000,0.000,
374,3.740,-1.099,0.000,0.000,
375,3.750,-1.160,0.000,0.000,
376,3.760,-0.977,0.000,0.000,
377,3.770,-0.793,0.061,0.000,
378,3.780,-0.793,0.061,0.000,
379,3.790,-0.549,0.122,0.000,
380,3.800,-0.305,0.000,0.000,
381,3.810,-0.366,0.122,-0.061,
382,3.820,-0.610,0.061,0.000,
383,3.830,-0.916,0.000,0.000,
384,3.840,-0.854,0.000,0.000,
385,3.850,-0.610,0.000,0.000,
386,3.860,0.000,-0.183,0.061,
387,3.870,0.122,-0.183,0.122,
388,3.880,0.244,-0.122,0.061,
389,3.890,0.671,-0.244,0.000,
390,3.900,0.916,-0.244,0.000,
391,3.910,0.549,-0.244,0.000,
392,3.920,0.183,-0.183,0.061,
393,3.930,0.000,-0.183,0.061,
394,3.940,0.000,-0.122,0.000,
395,3.950,-0.122,-0.061,-0.061,
396,3.960,0.000,0.000,0.000,
397,3.970,0.122,0.000,0.000,
398,3.980,0.305,0.061,-0.061,
399,3.990,0.122,0.061,0.000,
400,4.000,0.000,0.061,0.000,
401,4.010,-0.122,0.061,0.000,
402,4.020,-0.244,0.000,0.000,
403,4.030,-0.244,-0.122,0.061,
404,4.040,-0.061,-0.061,0.000,
405,4.050,0.122,-0.122,0.122,
406,4.060,0.244,-0.183,0.061,
407,4.070,0.244,-0.122,0.000,
408,4.080,0.488,-0.061,0.000,
409,4.090,0.549,-0.061,0.000,
