Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,0.102,-1.080,8.976,
1,0.010,0.091,-1.186,8.981,
2,0.020,0.091,-1.232,9.026,
3,0.030,0.098,-1.280,9.083,
4,0.040,0.035,-1.259,9.020,
5,0.050,0.085,-1.269,9.020,
6,0.060,0.043,-1.229,8.984,
7,0.070,0.004,-1.150,8.924,
8,0.080,0.060,-1.232,8.982,
9,0.090,0.026,-1.199,8.930,
10,0.100,0.092,-1.206,8.907,
11,0.110,0.123,-1.225,8.982,
12,0.120,0.211,-1.230,8.966,
13,0.130,0.267,-1.242,8.947,
14,0.140,0.279,-1.170,8.944,
15,0.150,0.291,-1.145,8.953,
16,0.160,0.227,-1.115,8.979,
17,0.170,0.211,-1.103,8.985,
18,0.180,0.180,-1.098,8.944,
19,0.190,0.148,-1.103,8.968,
20,0.200,0.152,-1.107,9.004,
21,0.210,0.172,-1.178,8.969,
22,0.220,0.209,-1.129,9.006,
23,0.230,0.190,-1.143,9.000,
24,0.240,0.212,-1.121,8.972,
25,0.250,0.209,-1.174,8.988,
26,0.260,0.218,-1.147,8.991,
27,0.270,0.200,-1.155,8.948,
28,0.280,0.182,-1.152,8.972,
29,0.290,0.115,-1.161,8.968,
30,0.300,0.132,-1.152,8.964,
31,0.310,0.123,-1.117,8.985,
32,0.320,0.171,-1.184,8.966,
33,0.330,0.203,-1.223,8.962,
34,0.340,0.225,-1.204,8.944,
35,0.350,0.187,-1.180,8.979,
36,0.360,0.141,-1.220,9.005,
37,0.370,0.158,-1.223,8.957,
38,0.380,0.188,-1.198,9.000,
39,0.390,0.123,-1.231,9.032,
40,0.400,0.174,-1.238,8.945,
41,0.410,0.146,-1.162,8.966,
42,0.420,0.158,-1.216,8.984,
43,0.430,0.165,-1.150,9.015,
44,0.440,0.183,-1.180,8.949,
45,0.450,0.256,-1.155,8.980,
46,0.460,0.223,-1.090,8.994,
47,0.470,0.297,-1.070,8.960,
48,0.480,0.220,-1.083,8.967,
49,0.490,0.181,-1.116,8.933,
50,0.500,0.130,-1.188,8.961,
51,0.510,0.103,-1.176,8.948,
52,0.520,0.127,-1.261,8.966,
53,0.530,0.102,-1.238,9.010,
54,0.540,0.148,-1.271,8.990,
55,0.550,0.139,-1.238,9.000,
56,0.560,0.158,-1.234,8.918,
57,0.570,0.165,-1.255,8.897,
58,0.580,0.148,-1.228,8.927,
59,0.590,0.188,-1.176,8.955,
60,0.600,0.186,-1.186,9.010,
61,0.610,0.207,-1.163,9.020,
62,0.620,0.196,-1.138,8.944,
63,0.630,0.203,-1.187,8.955,
64,0.640,0.229,-1.207,8.996,
65,0.650,0.199,-1.205,9.002,
66,0.660,0.229,-1.196,9.000,
67,0.670,0.200,-1.223,9.038,
68,0.680,0.174,-1.228,8.981,
69,0.690,0.192,-1.205,8.984,
70,0.700,0.163,-1.199,8.960,
71,0.710,0.154,-1.181,9.005,
