Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,-7.4,-1.0,12.8,
1,0.010,-7.4,-1.0,12.8,
2,0.020,-7.5,-1.0,12.8,
3,0.030,-7.5,-1.0,12.8,
4,0.040,-7.5,-1.0,12.8,
5,0.050,-7.5,-1.0,12.8,
6,0.060,-7.5,-1.0,12.8,
7,0.070,-7.5,-1.0,12.8,
8,0.080,-7.5,-1.0,12.8,
9,0.090,-7.5,-1.0,12.8,
10,0.100,-7.5,-1.0,12.8,
11,0.110,-7.5,-1.0,12.8,
12,0.120,-7.5,-1.0,12.8,
13,0.130,-7.5,-1.0,12.8,
14,0.140,-7.5,-1.0,12.8,
15,0.150,-7.5,-1.0,12.8,
16,0.160,-7.4,-1.0,12.8,
17,0.170,-7.4,-1.0,12.8,
18,0.180,-7.4,-1.0,12.8,
19,0.190,-7.4,-1.0,12.8,
20,0.200,-7.4,-1.0,12.8,
21,0.210,-7.4,-1.0,12.8,
22,0.220,-7.4,-1.0,12.8,
23,0.230,-7.4,-1.0,12.8,
24,0.240,-7.4,-1.0,12.8,
25,0.250,-7.4,-1.0,12.8,
26,0.260,-7.5,-1.0,12.8,
27,0.270,-7.5,-1.0,12.8,
28,0.280,-7.5,-1.0,12.8,
29,0.290,-7.5,-1.0,12.8,
30,0.300,-7.5,-1.0,12.8,
31,0.310,-7.5,-1.0,12.8,
32,0.320,-7.5,-1.0,12.8,
33,0.330,-7.5,-1.1,12.8,
34,0.340,-7.6,-1.1,12.8,
35,0.350,-7.6,-1.1,12.8,
36,0.360,-7.6,-1.1,12.8,
37,0.370,-7.6,-1.1,12.8,
38,0.380,-7.5,-1.1,12.8,
39,0.390,-7.5,-1.1,12.8,
40,0.400,-7.5,-1.1,12.8,
41,0.410,-7.5,-1.1,12.8,
42,0.420,-7.5,-1.1,12.8,
43,0.430,-7.5,-1.1,12.7,
44,0.440,-7.5,-1.1,12.7,
45,0.450,-7.5,-1.1,12.7,
46,0.460,-7.5,-1.1,12.7,
47,0.470,-7.5,-1.1,12.7,
48,0.480,-7.5,-1.1,12.7,
49,0.490,-7.5,-1.1,12.7,
50,0.500,-7.5,-1.1,12.7,
51,0.510,-7.5,-1.1,12.7,
52,0.520,-7.6,-1.1,12.7,
53,0.530,-7.6,-1.1,12.7,
54,0.540,-7.6,-1.1,12.7,
55,0.550,-7.6,-1.1,12.7,
56,0.560,-7.6,-1.1,12.7,
57,0.570,-7.6,-1.1,12.7,
58,0.580,-7.6,-1.1,12.7,
59,0.590,-7.6,-1.1,12.7,
60,0.600,-7.6,-1.1,12.7,
61,0.610,-7.6,-1.1,12.7,
62,0.620,-7.6,-1.1,12.7,
63,0.630,-7.6,-1.1,12.7,
64,0.640,-7.6,-1.1,12.7,
65,0.650,-7.6,-1.1,12.7,
66,0.660,-7.6,-1.1,12.7,
67,0.670,-7.6,-1.1,12.7,
68,0.680,-7.6,-1.1,12.7,
69,0.690,-7.6,-1.1,12.7,
70,0.700,-7.6,-1.1,12.7,
71,0.710,-7.6,-1.1,12.7,
72,0.720,-7.6,-1.1,12.7,
73,0.730,-7.6,-1.0,12.8,
74,0.740,-7.6,-1.0,12.8,
75,0.750,-7.6,-1.0,12.8,
76,0.760,-7.6,-1.0,12.8,
77,0.770,-7.6,-1.0,12.8,
78,0.780,-7.6,-1.0,12.8,
79,0.790,-7.6,-1.0,12.8,
80,0.800,-7.6,-1.0,12.8,
81,0.810,-7.6,-1.0,12.8,
