Frame,Time,RightBicepsbrachiicaputbrevis,LeftBicepsbrachiicaputbrevis,
0,0.000,-0.005785,0.001779,
1,0.001,-0.001014,0.001204,
2,0.002,-0.002828,0.000809,
3,0.003,-0.000103,-0.005617,
4,0.004,0.006468,0.008324,
5,0.005,0.005432,0.010241,
6,0.006,0.006091,0.004589,
7,0.007,-0.004000,0.006210,
8,0.008,-0.000090,0.004629,
9,0.009,0.000935,0.000543,
10,0.010,0.006318,-0.000645,
11,0.011,-0.001104,0.000350,
12,0.012,0.003290,-0.000684,
13,0.013,0.002288,0.000141,
14,0.014,0.004321,-0.000717,
15,0.015,0.002151,-0.001398,
16,0.016,0.007716,0.003475,
17,0.017,0.002338,0.001771,
18,0.018,-0.005528,-0.002264,
19,0.019,0.001623,0.002460,
20,0.020,0.007887,0.006646,
21,0.021,0.003524,0.004929,
22,0.022,-0.000287,0.003403,
23,0.023,-0.002395,0.008429,
24,0.024,0.006957,0.007708,
25,0.025,-0.002740,0.007170,
26,0.026,0.003421,0.007649,
27,0.027,0.002322,0.000909,
28,0.028,0.003261,0.000093,
29,0.029,-0.007080,0.000969,
30,0.030,-0.000165,-0.001185,
31,0.031,0.006005,0.003746,
32,0.032,0.009120,0.004272,
33,0.033,0.006025,0.000265,
34,0.034,0.008644,0.005021,
35,0.035,0.012784,0.005540,
36,0.036,0.004308,-0.000839,
37,0.037,0.001081,0.000060,
38,0.038,0.000093,0.002308,
39,0.039,-0.004421,0.001699,
40,0.040,0.001530,-0.001269,
41,0.041,-0.000627,-0.009944,
42,0.042,0.000103,-0.010995,
43,0.043,0.005865,-0.014043,
44,0.044,-0.002522,-0.012874,
45,0.045,0.003103,-0.000622,
46,0.046,-0.002068,0.004493,
47,0.047,-0.001152,0.003026,
48,0.048,0.003134,-0.000959,
49,0.049,-0.000504,0.002818,
50,0.050,0.000268,-0.000325,
51,0.051,0.003388,-0.005482,
52,0.052,-0.000544,-0.006237,
53,0.053,0.001071,-0.003629,
54,0.054,-0.003876,-0.001376,
55,0.055,-0.003065,-0.006198,
56,0.056,0.003962,-0.003096,
57,0.057,0.004891,-0.002535,
58,0.058,0.005803,-0.007196,
59,0.059,0.006537,0.001125,
