Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,5.554,-0.366,0.183,
1,0.010,3.418,-0.488,0.244,
2,0.020,1.526,-0.549,0.366,
3,0.030,0.000,-0.671,0.610,
4,0.040,-0.671,-0.671,0.671,
5,0.050,-1.648,-0.549,0.793,
6,0.060,-2.136,-0.488,0.854,
7,0.070,-1.587,-0.305,0.793,
8,0.080,-0.549,-0.122,0.732,
9,0.090,0.488,-0.061,0.610,
10,0.100,0.610,0.000,0.549,
11,0.110,0.183,0.000,0.488,
12,0.120,-0.183,0.122,0.488,
13,0.130,-0.061,0.305,0.305,
14,0.140,-0.427,0.427,0.122,
15,0.150,-1.099,0.732,0.000,
16,0.160,-0.732,0.732,-0.061,
17,0.170,-0.183,0.854,-0.122,
18,0.180,0.427,0.916,-0.244,
19,0.190,0.916,0.732,-0.305,
20,0.200,1.038,0.793,-0.305,
21,0.210,0.610,0.671,-0.366,
22,0.220,0.122,0.732,-0.366,
23,0.230,-0.305,0.732,-0.244,
24,0.240,-0.366,0.549,-0.244,
25,0.250,-0.366,0.427,-0.244,
26,0.260,-0.122,0.427,-0.244,
27,0.270,0.000,0.366,-0.183,
28,0.280,0.183,0.244,-0.122,
29,0.290,0.305,0.305,-0.183,
30,0.300,0.732,0.305,-0.244,
31,0.310,0.977,0.427,-0.183,
32,0.320,0.427,0.427,-0.427,
33,0.330,0.000,0.244,-0.305,
34,0.340,-0.061,0.122,-0.366,
35,0.350,0.610,0.061,-0.305,
36,0.360,1.587,0.000,-0.244,
37,0.370,1.953,-0.061,-0.244,
38,0.380,2.075,-0.122,-0.183,
39,0.390,1.465,-0.183,-0.122,
40,0.400,0.488,-0.183,0.000,
41,0.410,-0.061,-0.366,0.061,
42,0.420,-0.122,-0.549,0.183,
43,0.430,-0.183,-0.732,0.122,
44,0.440,-0.916,-0.793,0.305,
45,0.450,-1.221,-0.916,0.305,
46,0.460,-0.854,-0.793,0.305,
47,0.470,-0.488,-0.671,0.244,
48,0.480,-0.854,-0.549,0.183,
49,0.490,-1.282,-0.549,0.183,
50,0.500,-1.404,-0.427,0.000,
51,0.510,-0.916,-0.427,0.000,
52,0.520,-0.732,-0.427,0.000,
53,0.530,-1.282,-0.488,0.000,
54,0.540,-1.221,-0.549,0.122,
55,0.550,-0.366,-0.549,0.122,
56,0.560,0.305,-0.427,0.183,
57,0.570,0.305,-0.488,0.061,
58,0.580,-0.061,-0.366,0.061,
59,0.590,0.366,-0.244,0.061,
60,0.600,1.221,-0.122,0.122,
61,0.610,1.770,-0.061,0.061,
62,0.620,1.648,-0.061,0.000,
63,0.630,0.000,0.061,-0.061,
64,0.640,-1.160,0.305,-0.183,
65,0.650,-1.404,0.488,-0.305,
66,0.660,-0.549,0.610,-0.305,
67,0.670,-0.305,0.671,-0.305,
68,0.680,0.305,0.610,-0.305,
69,0.690,0.549,0.671,-0.244,
70,0.700,0.732,0.549,-0.244,
71,0.710,-0.122,0.427,-0.366,
72,0.720,-0.977,0.427,-0.183,
73,0.730,-1.282,0.366,0.000,
74,0.740,-0.977,0.122,0.000,
75,0.750,-1.038,0.000,0.061,
76,0.760,-1.160,-0.244,0.122,
77,0.770,-0.854,-0.305,0.183,
78,0.780,-0.427,-0.366,0.183,
79,0.790,-0.366,-0.488,0.244,
80,0.800,-0.610,-0.610,0.183,
81,0.810,-0.977,-0.549,0.244,
82,0.820,-2.014,-0.549,0.183,
83,0.830,-2.930,-0.610,0.122,
84,0.840,-3.967,-0.671,0.122,
85,0.850,-4.517,-0.671,0.183,
86,0.860,-5.554,-0.732,0.122,
87,0.870,-6.348,-0.671,0.244,
88,0.880,-6.653,-0.610,0.305,
89,0.890,-6.348,-0.549,0.305,
90,0.900,-6.042,-0.427,0.305,
91,0.910,-5.798,-0.427,0.305,
92,0.920,-5.981,-0.183,0.183,
93,0.930,-5.127,-0.061,0.061,
94,0.940,-3.540,0.000,0.061,
95,0.950,-2.197,0.183,-0.122,
96,0.960,-1.099,0.305,-0.061,
97,0.970,-1.038,0.366,-0.244,
98,0.980,-0.977,0.366,-0.183,
99,0.990,-1.160,0.427,-0.305,
100,1.000,-0.549,0.427,-0.305,
101,1.010,0.549,0.488,-0.244,
102,1.020,1.831,0.366,-0.366,
103,1.030,2.686,0.366,-0.305,
104,1.040,2.808,0.244,-0.183,
105,1.050,2.930,0.244,-0.183,
106,1.060,2.747,0.000,0.000,
107,1.070,2.869,-0.183,0.122,
108,1.080,2.625,-0.488,0.183,
109,1.090,2.441,-0.610,0.183,
110,1.100,1.892,-0.793,0.305,
111,1.110,1.770,-0.793,0.305,
112,1.120,1.648,-0.793,0.244,
113,1.130,1.770,-0.671,0.244,
114,1.140,1.526,-0.549,0.183,
115,1.150,0.671,-0.610,0.305,
116,1.160,-0.366,-0.671,0.244,
117,1.170,-0.977,-0.488,0.244,
118,1.180,-0.854,-0.488,0.244,
119,1.190,-1.099,-0.305,0.061,
120,1.200,-1.526,-0.061,0.000,
121,1.210,-1.770,0.244,-0.061,
122,1.220,-1.404,0.488,-0.122,
123,1.230,-1.038,0.671,-0.122,
124,1.240,-0.916,0.671,-0.244,
125,1.250,-1.099,0.610,-0.244,
126,1.260,-1.221,0.610,-0.244,
127,1.270,-0.916,0.549,-0.305,
128,1.280,-0.488,0.610,-0.305,
129,1.290,0.000,0.610,-0.366,
130,1.300,0.061,0.732,-0.427,
131,1.310,0.488,0.732,-0.366,
132,1.320,0.610,0.610,-0.305,
133,1.330,0.244,0.427,-0.244,
134,1.340,0.000,0.000,-0.122,
135,1.350,-0.061,0.000,-0.122,
136,1.360,0.305,-0.183,0.000,
137,1.370,0.732,-0.244,0.061,
138,1.380,1.038,-0.366,0.061,
139,1.390,1.221,-0.366,0.061,
140,1.400,1.038,-0.366,0.122,
141,1.410,1.099,-0.305,0.061,
142,1.420,1.099,-0.305,0.061,
143,1.430,0.916,-0.305,0.061,
144,1.440,0.366,-0.488,0.061,
145,1.450,0.244,-0.366,0.061,
146,1.460,0.549,-0.183,0.061,
147,1.470,0.549,-0.122,0.000,
148,1.480,0.061,0.000,0.000,
149,1.490,-0.183,0.061,0.000,
150,1.500,-0.610,0.122,-0.061,
151,1.510,-0.793,0.061,-0.183,
152,1.520,-0.916,0.244,-0.122,
153,1.530,-1.160,0.366,-0.122,
154,1.540,-0.977,0.305,-0.183,
155,1.550,-1.160,0.366,-0.061,
156,1.560,-1.038,0.366,0.000,
157,1.570,-0.793,0.366,0.000,
158,1.580,0.000,0.427,-0.061,
159,1.590,0.488,0.427,-0.061,
160,1.600,0.366,0.427,-0.183,
161,1.610,0.244,0.427,-0.183,
162,1.620,0.305,0.427,-0.183,
163,1.630,0.488,0.366,-0.183,
164,1.640,0.366,0.366,-0.183,
165,1.650,0.244,0.305,-0.122,
